State,Date,Hourly Demand Met (in MW)
Maharashtra - 2017,06-Jan 4am,13916.36
Maharashtra - 2017,06-Jan 5am,14736.07
Maharashtra - 2017,06-Jan 6am,16490.75
Maharashtra - 2017,06-Jan 7am,18182.60
Maharashtra - 2017,06-Jan 8am,18891.33
Maharashtra - 2017,06-Jan 9am,19400.07
Maharashtra - 2017,06-Jan 10am,19471.72
Maharashtra - 2017,06-Jan 11am,19589.79
Maharashtra - 2017,06-Jan 12pm,19547.65
Maharashtra - 2017,06-Jan 1pm,18987.33
Maharashtra - 2017,06-Jan 2pm,18530.01
Maharashtra - 2017,06-Jan 3pm,18344.77
Maharashtra - 2017,06-Jan 4pm,17628.88
Maharashtra - 2017,06-Jan 5pm,16200.21
Maharashtra - 2017,06-Jan 6pm,15921.27
Maharashtra - 2017,06-Jan 7pm,15606.35
Maharashtra - 2017,06-Jan 8pm,15025.69
Maharashtra - 2017,06-Jan 9pm,14306.06
Maharashtra - 2017,06-Jan 10pm,13597.83
Maharashtra - 2017,06-Jan 11pm,13567.11
Maharashtra - 2017,07-Jan 12am,13706.58
Maharashtra - 2017,07-Jan 1am,13595.75
Maharashtra - 2017,07-Jan 2am,13447.68
Maharashtra - 2017,07-Jan 3am,13462.79
Maharashtra - 2017,07-Jan 4am,13768.98
Maharashtra - 2017,07-Jan 5am,15054.17
Maharashtra - 2017,07-Jan 6am,16498.12
Maharashtra - 2017,07-Jan 7am,18558.54
Maharashtra - 2017,07-Jan 8am,19199.93
Maharashtra - 2017,07-Jan 9am,19453.27
Maharashtra - 2017,07-Jan 10am,19812.56
Maharashtra - 2017,07-Jan 11am,19780.89
Maharashtra - 2017,07-Jan 12pm,19497.81
Maharashtra - 2017,07-Jan 1pm,18778.95
Maharashtra - 2017,07-Jan 2pm,18606.88
Maharashtra - 2017,07-Jan 3pm,18571.01
Maharashtra - 2017,07-Jan 4pm,18198.12
Maharashtra - 2017,07-Jan 5pm,16550.47
Maharashtra - 2017,07-Jan 6pm,16076.15
Maharashtra - 2017,07-Jan 7pm,16221.53
Maharashtra - 2017,07-Jan 8pm,15391.79
Maharashtra - 2017,07-Jan 9pm,14389.92
Maharashtra - 2017,07-Jan 10pm,13675.82
Maharashtra - 2017,07-Jan 11pm,13456.72
Maharashtra - 2017,08-Jan 12am,13617.04
Maharashtra - 2017,08-Jan 1am,13415.39
Maharashtra - 2017,08-Jan 2am,13356.88
Maharashtra - 2017,08-Jan 3am,13500.17
Maharashtra - 2017,08-Jan 4am,13536.07
Maharashtra - 2017,08-Jan 5am,14316.83
Maharashtra - 2017,08-Jan 6am,15716.64
Maharashtra - 2017,08-Jan 7am,17330.64
Maharashtra - 2017,08-Jan 8am,18095.27
Maharashtra - 2017,08-Jan 9am,18686.29
Maharashtra - 2017,08-Jan 10am,18858.92
Maharashtra - 2017,08-Jan 11am,18790.55
Maharashtra - 2017,08-Jan 12pm,18655.06
Maharashtra - 2017,08-Jan 1pm,18071.53
Maharashtra - 2017,08-Jan 2pm,17549.12
Maharashtra - 2017,08-Jan 3pm,17363.04
Maharashtra - 2017,08-Jan 4pm,16780.92
Maharashtra - 2017,08-Jan 5pm,15380.58
Maharashtra - 2017,08-Jan 6pm,15249.30
Maharashtra - 2017,08-Jan 7pm,15688.43
Maharashtra - 2017,08-Jan 8pm,14742.56
Maharashtra - 2017,08-Jan 9pm,13853.00
Maharashtra - 2017,08-Jan 10pm,13068.77
Maharashtra - 2017,08-Jan 11pm,12913.58
Maharashtra - 2017,09-Jan 12am,13256.07
Maharashtra - 2017,09-Jan 1am,13046.48
Maharashtra - 2017,09-Jan 2am,13069.20
Maharashtra - 2017,09-Jan 3am,13269.97
Maharashtra - 2017,09-Jan 4am,13407.76
Maharashtra - 2017,09-Jan 5am,14441.71
Maharashtra - 2017,09-Jan 6am,16202.34
Maharashtra - 2017,09-Jan 7am,18368.73
Maharashtra - 2017,09-Jan 8am,18922.88
Maharashtra - 2017,09-Jan 9am,19186.52
Maharashtra - 2017,09-Jan 10am,19307.89
Maharashtra - 2017,09-Jan 11am,19153.54
Maharashtra - 2017,09-Jan 12pm,18657.99
Maharashtra - 2017,09-Jan 1pm,18194.83
Maharashtra - 2017,09-Jan 2pm,18108.70
Maharashtra - 2017,09-Jan 3pm,18002.08
Maharashtra - 2017,09-Jan 4pm,17540.18
Maharashtra - 2017,09-Jan 5pm,16084.93
Maharashtra - 2017,09-Jan 6pm,16053.18
Maharashtra - 2017,09-Jan 7pm,16524.02
Maharashtra - 2017,09-Jan 8pm,15287.23
Maharashtra - 2017,09-Jan 9pm,14450.89
Maharashtra - 2017,09-Jan 10pm,13661.40
Maharashtra - 2017,09-Jan 11pm,13339.48
Maharashtra - 2017,10-Jan 12am,13551.56
