State,Date,Hourly Demand Met (in MW)
Maharashtra - 2019,01-Jan 12am,14162.90
Maharashtra - 2019,01-Jan 1am,14125.06
Maharashtra - 2019,01-Jan 2am,14067.97
Maharashtra - 2019,01-Jan 3am,14052.25
Maharashtra - 2019,01-Jan 4am,14361.04
Maharashtra - 2019,01-Jan 5am,15202.31
Maharashtra - 2019,01-Jan 6am,16456.89
Maharashtra - 2019,01-Jan 7am,17748.18
Maharashtra - 2019,01-Jan 8am,18345.38
Maharashtra - 2019,01-Jan 9am,19017.52
Maharashtra - 2019,01-Jan 10am,19864.59
Maharashtra - 2019,01-Jan 11am,20159.28
Maharashtra - 2019,01-Jan 12pm,19797.18
Maharashtra - 2019,01-Jan 1pm,19185.94
Maharashtra - 2019,01-Jan 2pm,19024.63
Maharashtra - 2019,01-Jan 3pm,18402.84
Maharashtra - 2019,01-Jan 4pm,17513.64
Maharashtra - 2019,01-Jan 5pm,16899.80
Maharashtra - 2019,01-Jan 6pm,17251.44
Maharashtra - 2019,01-Jan 7pm,17165.10
Maharashtra - 2019,01-Jan 8pm,16273.85
Maharashtra - 2019,01-Jan 9pm,15880.36
Maharashtra - 2019,01-Jan 10pm,14900.06
Maharashtra - 2019,01-Jan 11pm,14366.85
Maharashtra - 2019,02-Jan 12am,14384.85
Maharashtra - 2019,02-Jan 1am,14130.65
Maharashtra - 2019,02-Jan 2am,14069.06
Maharashtra - 2019,02-Jan 3am,14212.73
Maharashtra - 2019,02-Jan 4am,14530.39
Maharashtra - 2019,02-Jan 5am,15521.95
Maharashtra - 2019,02-Jan 6am,17458.98
Maharashtra - 2019,02-Jan 7am,18906.75
Maharashtra - 2019,02-Jan 8am,19389.20
Maharashtra - 2019,02-Jan 9am,19991.02
Maharashtra - 2019,02-Jan 10am,20235.27
Maharashtra - 2019,02-Jan 11am,20215.85
Maharashtra - 2019,02-Jan 12pm,20215.85
Maharashtra - 2019,02-Jan 1pm,19093.93
Maharashtra - 2019,02-Jan 2pm,19073.54
Maharashtra - 2019,02-Jan 3pm,18814.11
Maharashtra - 2019,02-Jan 4pm,18605.56
Maharashtra - 2019,02-Jan 5pm,17824.56
Maharashtra - 2019,02-Jan 6pm,18047.59
Maharashtra - 2019,02-Jan 7pm,18088.38
Maharashtra - 2019,02-Jan 8pm,17366.77
Maharashtra - 2019,02-Jan 9pm,16692.31
Maharashtra - 2019,02-Jan 10pm,15795.24
Maharashtra - 2019,02-Jan 11pm,15374.22
Maharashtra - 2019,03-Jan 12am,15045.63
Maharashtra - 2019,03-Jan 1am,14849.42
Maharashtra - 2019,03-Jan 2am,14696.31
Maharashtra - 2019,03-Jan 3am,14795.30
Maharashtra - 2019,03-Jan 4am,15027.93
Maharashtra - 2019,03-Jan 5am,15916.95
Maharashtra - 2019,03-Jan 6am,17618.82
Maharashtra - 2019,03-Jan 7am,18933.89
Maharashtra - 2019,03-Jan 8am,19557.97
Maharashtra - 2019,03-Jan 9am,20106.52
Maharashtra - 2019,03-Jan 10am,20746.51
Maharashtra - 2019,03-Jan 11am,20788.27
Maharashtra - 2019,03-Jan 12pm,20303.71
Maharashtra - 2019,03-Jan 1pm,19527.70
Maharashtra - 2019,03-Jan 2pm,19450.41
Maharashtra - 2019,03-Jan 3pm,19586.72
Maharashtra - 2019,03-Jan 4pm,19531.12
Maharashtra - 2019,03-Jan 5pm,18506.08
Maharashtra - 2019,03-Jan 6pm,18346.39
Maharashtra - 2019,03-Jan 7pm,18209.78
Maharashtra - 2019,03-Jan 8pm,17503.91
Maharashtra - 2019,03-Jan 9pm,17103.83
Maharashtra - 2019,03-Jan 10pm,16417.76
Maharashtra - 2019,03-Jan 11pm,15817.38
Maharashtra - 2019,04-Jan 12am,15512.05
Maharashtra - 2019,04-Jan 1am,15305.04
Maharashtra - 2019,04-Jan 2am,15079.19
Maharashtra - 2019,04-Jan 3am,15015.56
Maharashtra - 2019,04-Jan 4am,15341.16
Maharashtra - 2019,04-Jan 5am,16344.25
Maharashtra - 2019,04-Jan 6am,17994.35
Maharashtra - 2019,04-Jan 7am,19363.55
Maharashtra - 2019,04-Jan 8am,19794.49
Maharashtra - 2019,04-Jan 9am,20178.40
Maharashtra - 2019,04-Jan 10am,20371.89
Maharashtra - 2019,04-Jan 11am,20703.74
Maharashtra - 2019,04-Jan 12pm,20281.25
