date,average_rain
2017-01-01,0.0
2017-01-02,0.20049486050800402
2017-01-03,0.0021295866361512386
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,1.8541900065914882
2017-01-08,1.2727725459344186
2017-01-09,0.013450416527232346
2017-01-10,0.1753142792785828
2017-01-11,0.002248515193038362
2017-01-12,0.0011114788298704186
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0011320461250255128
2017-01-17,0.0025002446362298015
2017-01-18,0.0018068885664203076
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0016739545688684758
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.08090417039290114
2017-01-27,7.154737320568402
2017-01-28,3.900046371357955
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,0.000530182055412159
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.05689946916117265
2017-02-06,0.13636373769785157
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.21850724922324757
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.053689740750254414
2017-02-22,0.007468300293207864
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.021178439954627013
2017-03-02,0.21606994678779523
2017-03-03,0.0603453530862102
2017-03-04,0.0017968924069891171
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,0.0
2017-03-08,0.014042795312647917
2017-03-09,0.42117275947123856
2017-03-10,3.0127949949038966
2017-03-11,2.3211651920794396
2017-03-12,0.8275822536373625
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,0.0022868797313367662
2017-03-18,0.0020555935083255822
2017-03-19,0.16276557044107087
2017-03-20,0.03116735490174752
2017-03-21,0.08421284029852197
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,0.016091243866233715
2017-03-25,0.0
2017-03-26,0.0
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.0
2017-04-04,0.0
2017-04-05,0.08501525088579939
2017-04-06,0.22681000133645082
2017-04-07,0.23321753709900137
2017-04-08,0.0878761133977345
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.027752411044026256
2017-04-21,0.0
2017-04-22,0.135411830624408
2017-04-23,0.03151463945301212
2017-04-24,1.4362854388903599
2017-04-25,0.0
2017-04-26,0.00709978438935544
2017-04-27,0.006196400080060819
2017-04-28,0.012363828914158546
2017-04-29,0.00709978438935544
2017-04-30,0.07871816987198921
2017-05-01,0.7932565635825037
2017-05-02,0.025996777041660455
2017-05-03,0.0
2017-05-04,0.010880799339568302
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,2.382803882132814
2017-05-10,0.12640556638772565
2017-05-11,0.20601720636596485
2017-05-12,0.0078033135861766585
2017-05-13,1.1432754568125694
2017-05-14,0.031134539308249082
2017-05-15,0.039840572777016865
2017-05-16,0.0075216389779794324
2017-05-17,2.1776937140102985
2017-05-18,3.2502130509161393
2017-05-19,0.5757636911841245
2017-05-20,0.24887223572147135
2017-05-21,0.01714355674498978
2017-05-22,0.481147082180393
2017-05-23,0.0
2017-05-24,0.22008514643236776
2017-05-25,0.0
2017-05-26,0.6998102445340018
2017-05-27,3.431244675124352
2017-05-28,0.8683097447885021
2017-05-29,3.6984340897584795
2017-05-30,1.2006188126025672
2017-05-31,1.770373919788672
2017-06-01,1.3487759921971285
2017-06-02,0.1531393196944245
2017-06-03,0.11126010402298529
2017-06-04,0.0
2017-06-05,0.0
2017-06-06,4.821964582531515
2017-06-07,6.392279615837527
2017-06-08,1.0420394641925572
