State,Date,Hourly Demand Met (in MW)
Uttar Pradesh - 2017,01-Jan 12am,11788.28
Uttar Pradesh - 2017,01-Jan 1am,11247.80
Uttar Pradesh - 2017,01-Jan 2am,10912.23
Uttar Pradesh - 2017,01-Jan 3am,10847.73
Uttar Pradesh - 2017,01-Jan 4am,11013.83
Uttar Pradesh - 2017,01-Jan 5am,11941.86
Uttar Pradesh - 2017,01-Jan 6am,13079.51
Uttar Pradesh - 2017,01-Jan 7am,13142.37
Uttar Pradesh - 2017,01-Jan 8am,12724.99
Uttar Pradesh - 2017,01-Jan 9am,12323.13
Uttar Pradesh - 2017,01-Jan 10am,11551.75
Uttar Pradesh - 2017,01-Jan 11am,12128.26
Uttar Pradesh - 2017,01-Jan 12pm,12218.26
Uttar Pradesh - 2017,01-Jan 1pm,11967.48
Uttar Pradesh - 2017,01-Jan 2pm,11828.61
Uttar Pradesh - 2017,01-Jan 3pm,12111.35
Uttar Pradesh - 2017,01-Jan 4pm,12251.39
Uttar Pradesh - 2017,01-Jan 5pm,12749.67
Uttar Pradesh - 2017,01-Jan 6pm,13653.60
Uttar Pradesh - 2017,01-Jan 7pm,13081.84
Uttar Pradesh - 2017,01-Jan 8pm,12679.55
Uttar Pradesh - 2017,01-Jan 9pm,12466.34
Uttar Pradesh - 2017,01-Jan 10pm,12511.65
Uttar Pradesh - 2017,01-Jan 11pm,12092.43
Uttar Pradesh - 2017,02-Jan 12am,11375.14
Uttar Pradesh - 2017,02-Jan 1am,11014.99
Uttar Pradesh - 2017,02-Jan 2am,10854.98
Uttar Pradesh - 2017,02-Jan 3am,10778.77
Uttar Pradesh - 2017,02-Jan 4am,10968.24
Uttar Pradesh - 2017,02-Jan 5am,11814.72
Uttar Pradesh - 2017,02-Jan 6am,13181.84
Uttar Pradesh - 2017,02-Jan 7am,13701.26
Uttar Pradesh - 2017,02-Jan 8am,13296.04
Uttar Pradesh - 2017,02-Jan 9am,12851.84
Uttar Pradesh - 2017,02-Jan 10am,12954.28
Uttar Pradesh - 2017,02-Jan 11am,12414.58
Uttar Pradesh - 2017,02-Jan 12pm,12233.28
Uttar Pradesh - 2017,02-Jan 1pm,11993.24
Uttar Pradesh - 2017,02-Jan 2pm,12039.89
Uttar Pradesh - 2017,02-Jan 3pm,11825.29
Uttar Pradesh - 2017,02-Jan 4pm,11644.70
Uttar Pradesh - 2017,02-Jan 5pm,11929.10
Uttar Pradesh - 2017,02-Jan 6pm,13111.91
Uttar Pradesh - 2017,02-Jan 7pm,12689.30
Uttar Pradesh - 2017,02-Jan 8pm,11756.95
Uttar Pradesh - 2017,02-Jan 9pm,11556.30
Uttar Pradesh - 2017,02-Jan 10pm,12017.64
Uttar Pradesh - 2017,02-Jan 11pm,12003.23
Uttar Pradesh - 2017,03-Jan 12am,11377.22
Uttar Pradesh - 2017,03-Jan 1am,10886.67
Uttar Pradesh - 2017,03-Jan 2am,10774.41
Uttar Pradesh - 2017,03-Jan 3am,10719.94
Uttar Pradesh - 2017,03-Jan 4am,10756.14
Uttar Pradesh - 2017,03-Jan 5am,11427.45
Uttar Pradesh - 2017,03-Jan 6am,11965.31
Uttar Pradesh - 2017,03-Jan 7am,12585.65
Uttar Pradesh - 2017,03-Jan 8am,12891.02
Uttar Pradesh - 2017,03-Jan 9am,12636.10
Uttar Pradesh - 2017,03-Jan 10am,12799.89
Uttar Pradesh - 2017,03-Jan 11am,12435.00
Uttar Pradesh - 2017,03-Jan 12pm,12459.91
Uttar Pradesh - 2017,03-Jan 1pm,12519.25
Uttar Pradesh - 2017,03-Jan 2pm,12366.12
Uttar Pradesh - 2017,03-Jan 3pm,12168.40
