State,Date,Hourly Demand Met (in MW)
Maharashtra - 2023,01-Jan 12am,19025.35
Maharashtra - 2023,01-Jan 1am,19347.82
Maharashtra - 2023,01-Jan 2am,19285.98
Maharashtra - 2023,01-Jan 3am,19319.33
Maharashtra - 2023,01-Jan 4am,19637.19
Maharashtra - 2023,01-Jan 5am,20393.03
Maharashtra - 2023,01-Jan 6am,21040.94
Maharashtra - 2023,01-Jan 7am,21685.42
Maharashtra - 2023,01-Jan 8am,22430.28
Maharashtra - 2023,01-Jan 9am,23424.89
Maharashtra - 2023,01-Jan 10am,24648.76
Maharashtra - 2023,01-Jan 11am,24496.31
Maharashtra - 2023,01-Jan 12pm,23827.63
Maharashtra - 2023,01-Jan 1pm,23207.68
Maharashtra - 2023,01-Jan 2pm,22900.01
Maharashtra - 2023,01-Jan 3pm,22844.03
Maharashtra - 2023,01-Jan 4pm,21906.31
Maharashtra - 2023,01-Jan 5pm,20512.11
Maharashtra - 2023,01-Jan 6pm,20549.73
Maharashtra - 2023,01-Jan 7pm,20704.61
Maharashtra - 2023,01-Jan 8pm,19396.22
Maharashtra - 2023,01-Jan 9pm,18725.47
Maharashtra - 2023,01-Jan 10pm,18395.42
Maharashtra - 2023,01-Jan 11pm,18297.34
Maharashtra - 2023,02-Jan 12am,18262.61
Maharashtra - 2023,02-Jan 1am,18328.43
Maharashtra - 2023,02-Jan 2am,18337.63
Maharashtra - 2023,02-Jan 3am,18287.65
Maharashtra - 2023,02-Jan 4am,18844.19
Maharashtra - 2023,02-Jan 5am,19840.82
Maharashtra - 2023,02-Jan 6am,21166.16
Maharashtra - 2023,02-Jan 7am,22354.65
Maharashtra - 2023,02-Jan 8am,23453.85
Maharashtra - 2023,02-Jan 9am,24644.45
Maharashtra - 2023,02-Jan 10am,25960.87
Maharashtra - 2023,02-Jan 11am,25815.20
Maharashtra - 2023,02-Jan 12pm,25503.17
Maharashtra - 2023,02-Jan 1pm,24713.10
Maharashtra - 2023,02-Jan 2pm,24919.92
Maharashtra - 2023,02-Jan 3pm,24930.04
Maharashtra - 2023,02-Jan 4pm,24186.67
Maharashtra - 2023,02-Jan 5pm,22973.89
Maharashtra - 2023,02-Jan 6pm,23008.71
Maharashtra - 2023,02-Jan 7pm,22783.21
Maharashtra - 2023,02-Jan 8pm,21240.84
