State,Date,Hourly Demand Met (in MW)
Maharashtra - 2018,01-Jan 12am,13631.56
Maharashtra - 2018,01-Jan 1am,13546.26
Maharashtra - 2018,01-Jan 2am,13445.19
Maharashtra - 2018,01-Jan 3am,13458.26
Maharashtra - 2018,01-Jan 4am,13831.58
Maharashtra - 2018,01-Jan 5am,14811.63
Maharashtra - 2018,01-Jan 6am,16151.77
Maharashtra - 2018,01-Jan 7am,17470.54
Maharashtra - 2018,01-Jan 8am,17590.43
Maharashtra - 2018,01-Jan 9am,17730.64
Maharashtra - 2018,01-Jan 10am,18126.96
Maharashtra - 2018,01-Jan 11am,19040.57
Maharashtra - 2018,01-Jan 12pm,18766.10
Maharashtra - 2018,01-Jan 1pm,18091.64
Maharashtra - 2018,01-Jan 2pm,17970.45
Maharashtra - 2018,01-Jan 3pm,17653.11
Maharashtra - 2018,01-Jan 4pm,17039.14
Maharashtra - 2018,01-Jan 5pm,15913.55
Maharashtra - 2018,01-Jan 6pm,15680.88
Maharashtra - 2018,01-Jan 7pm,15568.00
Maharashtra - 2018,01-Jan 8pm,14770.85
Maharashtra - 2018,01-Jan 9pm,14383.76
Maharashtra - 2018,01-Jan 10pm,13985.91
Maharashtra - 2018,01-Jan 11pm,13610.26
Maharashtra - 2018,02-Jan 12am,13766.31
Maharashtra - 2018,02-Jan 1am,13588.28
Maharashtra - 2018,02-Jan 2am,13393.89
Maharashtra - 2018,02-Jan 3am,13445.71
Maharashtra - 2018,02-Jan 4am,13813.42
Maharashtra - 2018,02-Jan 5am,14816.86
Maharashtra - 2018,02-Jan 6am,16711.27
Maharashtra - 2018,02-Jan 7am,18286.18
Maharashtra - 2018,02-Jan 8am,18402.08
Maharashtra - 2018,02-Jan 9am,18603.67
Maharashtra - 2018,02-Jan 10am,18846.91
Maharashtra - 2018,02-Jan 11am,19536.95
Maharashtra - 2018,02-Jan 12pm,19390.68
Maharashtra - 2018,02-Jan 1pm,19338.24
Maharashtra - 2018,02-Jan 2pm,19120.58
Maharashtra - 2018,02-Jan 3pm,18580.90
Maharashtra - 2018,02-Jan 4pm,18252.36
Maharashtra - 2018,02-Jan 5pm,17084.20
Maharashtra - 2018,02-Jan 6pm,16923.11
Maharashtra - 2018,02-Jan 7pm,16372.59
Maharashtra - 2018,02-Jan 8pm,15418.90
Maharashtra - 2018,02-Jan 9pm,14839.82
Maharashtra - 2018,02-Jan 10pm,14332.95
Maharashtra - 2018,02-Jan 11pm,14066.63
Maharashtra - 2018,03-Jan 12am,14056.52
Maharashtra - 2018,03-Jan 1am,13984.30
Maharashtra - 2018,03-Jan 2am,13916.39
Maharashtra - 2018,03-Jan 3am,13948.42
Maharashtra - 2018,03-Jan 4am,14320.90
Maharashtra - 2018,03-Jan 5am,15199.58
Maharashtra - 2018,03-Jan 6am,16880.04
Maharashtra - 2018,03-Jan 7am,18378.95
Maharashtra - 2018,03-Jan 8am,18391.75
Maharashtra - 2018,03-Jan 9am,18650.95
Maharashtra - 2018,03-Jan 10am,18815.94
Maharashtra - 2018,03-Jan 11am,19184.49
Maharashtra - 2018,03-Jan 12pm,18823.57
Maharashtra - 2018,03-Jan 1pm,18324.02
Maharashtra - 2018,03-Jan 2pm,18124.06
