State,Date,Hourly Demand Met (in MW)
Uttar Pradesh - 2022,01-Jan 12am,10804.30
Uttar Pradesh - 2022,01-Jan 1am,10206.31
Uttar Pradesh - 2022,01-Jan 2am,9820.79
Uttar Pradesh - 2022,01-Jan 3am,9696.72
Uttar Pradesh - 2022,01-Jan 4am,10151.85
Uttar Pradesh - 2022,01-Jan 5am,11673.19
Uttar Pradesh - 2022,01-Jan 6am,14009.48
Uttar Pradesh - 2022,01-Jan 7am,14142.07
Uttar Pradesh - 2022,01-Jan 8am,12262.28
Uttar Pradesh - 2022,01-Jan 9am,12064.29
Uttar Pradesh - 2022,01-Jan 10am,14187.30
Uttar Pradesh - 2022,01-Jan 11am,15760.28
Uttar Pradesh - 2022,01-Jan 12pm,15596.59
Uttar Pradesh - 2022,01-Jan 1pm,13802.67
Uttar Pradesh - 2022,01-Jan 2pm,11798.47
Uttar Pradesh - 2022,01-Jan 3pm,10745.82
Uttar Pradesh - 2022,01-Jan 4pm,10581.37
Uttar Pradesh - 2022,01-Jan 5pm,13183.31
Uttar Pradesh - 2022,01-Jan 6pm,17149.03
Uttar Pradesh - 2022,01-Jan 7pm,17192.53
Uttar Pradesh - 2022,01-Jan 8pm,16194.26
Uttar Pradesh - 2022,01-Jan 9pm,14561.09
Uttar Pradesh - 2022,01-Jan 10pm,12823.60
Uttar Pradesh - 2022,01-Jan 11pm,11436.17
Uttar Pradesh - 2022,02-Jan 12am,10469.69
Uttar Pradesh - 2022,02-Jan 1am,9939.18
Uttar Pradesh - 2022,02-Jan 2am,9615.64
Uttar Pradesh - 2022,02-Jan 3am,9485.54
Uttar Pradesh - 2022,02-Jan 4am,9687.30
Uttar Pradesh - 2022,02-Jan 5am,10793.44
Uttar Pradesh - 2022,02-Jan 6am,12688.57
Uttar Pradesh - 2022,02-Jan 7am,13086.29
Uttar Pradesh - 2022,02-Jan 8am,11623.42
Uttar Pradesh - 2022,02-Jan 9am,11600.51
Uttar Pradesh - 2022,02-Jan 10am,13264.29
