State,Date,Hourly Demand Met (in MW)
Uttar Pradesh - 2018,05-Jan 3pm,12980.51
Uttar Pradesh - 2018,05-Jan 4pm,12808.46
Uttar Pradesh - 2018,05-Jan 5pm,13220.58
Uttar Pradesh - 2018,05-Jan 6pm,13902.84
Uttar Pradesh - 2018,05-Jan 7pm,13673.97
Uttar Pradesh - 2018,05-Jan 8pm,13125.70
Uttar Pradesh - 2018,05-Jan 9pm,12930.81
Uttar Pradesh - 2018,05-Jan 10pm,12758.23
Uttar Pradesh - 2018,05-Jan 11pm,12752.30
Uttar Pradesh - 2018,06-Jan 12am,11962.63
Uttar Pradesh - 2018,06-Jan 1am,11375.48
Uttar Pradesh - 2018,06-Jan 2am,11048.86
Uttar Pradesh - 2018,06-Jan 3am,10862.24
Uttar Pradesh - 2018,06-Jan 4am,10845.59
Uttar Pradesh - 2018,06-Jan 5am,11387.59
Uttar Pradesh - 2018,06-Jan 6am,12565.00
Uttar Pradesh - 2018,06-Jan 7am,13558.64
Uttar Pradesh - 2018,06-Jan 8am,13376.13
Uttar Pradesh - 2018,06-Jan 9am,13189.82
Uttar Pradesh - 2018,06-Jan 10am,13003.53
Uttar Pradesh - 2018,06-Jan 11am,12863.78
Uttar Pradesh - 2018,06-Jan 12pm,13113.04
Uttar Pradesh - 2018,06-Jan 1pm,12782.33
Uttar Pradesh - 2018,06-Jan 2pm,12973.62
Uttar Pradesh - 2018,06-Jan 3pm,13188.82
Uttar Pradesh - 2018,06-Jan 4pm,13229.23
Uttar Pradesh - 2018,06-Jan 5pm,13700.06
Uttar Pradesh - 2018,06-Jan 6pm,13932.01
Uttar Pradesh - 2018,06-Jan 7pm,13673.97
Uttar Pradesh - 2018,06-Jan 8pm,13125.70
Uttar Pradesh - 2018,06-Jan 9pm,12930.81
Uttar Pradesh - 2018,06-Jan 10pm,12782.46
Uttar Pradesh - 2018,06-Jan 11pm,12760.37
Uttar Pradesh - 2018,07-Jan 12am,12263.10
Uttar Pradesh - 2018,07-Jan 1am,11688.15
Uttar Pradesh - 2018,07-Jan 2am,11394.11
Uttar Pradesh - 2018,07-Jan 3am,11266.47
Uttar Pradesh - 2018,07-Jan 4am,11350.41
Uttar Pradesh - 2018,07-Jan 5am,12025.51
Uttar Pradesh - 2018,07-Jan 6am,12992.05
Uttar Pradesh - 2018,07-Jan 7am,13954.59
Uttar Pradesh - 2018,07-Jan 8am,13805.61
Uttar Pradesh - 2018,07-Jan 9am,13883.81
Uttar Pradesh - 2018,07-Jan 10am,13593.22
Uttar Pradesh - 2018,07-Jan 11am,13369.60
Uttar Pradesh - 2018,07-Jan 12pm,13350.94
Uttar Pradesh - 2018,07-Jan 1pm,13049.64
Uttar Pradesh - 2018,07-Jan 2pm,12628.29
Uttar Pradesh - 2018,07-Jan 3pm,12389.20
Uttar Pradesh - 2018,07-Jan 4pm,12508.86
Uttar Pradesh - 2018,07-Jan 5pm,12477.80
Uttar Pradesh - 2018,07-Jan 6pm,13462.53
Uttar Pradesh - 2018,07-Jan 7pm,12998.08
Uttar Pradesh - 2018,07-Jan 8pm,13003.90
Uttar Pradesh - 2018,07-Jan 9pm,12921.10
Uttar Pradesh - 2018,07-Jan 10pm,12584.93
Uttar Pradesh - 2018,07-Jan 11pm,12134.65
Uttar Pradesh - 2018,08-Jan 12am,11911.34
Uttar Pradesh - 2018,08-Jan 1am,11461.40
Uttar Pradesh - 2018,08-Jan 2am,11187.61
Uttar Pradesh - 2018,08-Jan 3am,11080.00
Uttar Pradesh - 2018,08-Jan 4am,11239.71
Uttar Pradesh - 2018,08-Jan 5am,11972.74
Uttar Pradesh - 2018,08-Jan 6am,13503.62
Uttar Pradesh - 2018,08-Jan 7am,14257.04
Uttar Pradesh - 2018,08-Jan 8am,13938.81
Uttar Pradesh - 2018,08-Jan 9am,13415.74
Uttar Pradesh - 2018,08-Jan 10am,13207.24
Uttar Pradesh - 2018,08-Jan 11am,13007.17
Uttar Pradesh - 2018,08-Jan 12pm,13027.54
Uttar Pradesh - 2018,08-Jan 1pm,12741.36
Uttar Pradesh - 2018,08-Jan 2pm,12908.79
Uttar Pradesh - 2018,08-Jan 3pm,13224.03
Uttar Pradesh - 2018,08-Jan 4pm,13451.50
Uttar Pradesh - 2018,08-Jan 5pm,13715.59
Uttar Pradesh - 2018,08-Jan 6pm,14447.65
Uttar Pradesh - 2018,08-Jan 7pm,13691.34
Uttar Pradesh - 2018,08-Jan 8pm,13040.19
Uttar Pradesh - 2018,08-Jan 9pm,13438.10
Uttar Pradesh - 2018,08-Jan 10pm,13257.64
Uttar Pradesh - 2018,08-Jan 11pm,12771.28
Uttar Pradesh - 2018,09-Jan 12am,12113.05
Uttar Pradesh - 2018,09-Jan 1am,11620.85
Uttar Pradesh - 2018,09-Jan 2am,11325.20
Uttar Pradesh - 2018,09-Jan 3am,11199.49
Uttar Pradesh - 2018,09-Jan 4am,11257.54
Uttar Pradesh - 2018,09-Jan 5am,12175.31
Uttar Pradesh - 2018,09-Jan 6am,13296.35
Uttar Pradesh - 2018,09-Jan 7am,14053.47
Uttar Pradesh - 2018,09-Jan 8am,14151.54
Uttar Pradesh - 2018,09-Jan 9am,13610.18
Uttar Pradesh - 2018,09-Jan 10am,13561.29
Uttar Pradesh - 2018,09-Jan 11am,13727.92
Uttar Pradesh - 2018,09-Jan 12pm,13793.63
Uttar Pradesh - 2018,09-Jan 1pm,13426.37
Uttar Pradesh - 2018,09-Jan 2pm,13409.33
Uttar Pradesh - 2018,09-Jan 3pm,13484.91
Uttar Pradesh - 2018,09-Jan 4pm,13811.62
Uttar Pradesh - 2018,09-Jan 5pm,13678.62
Uttar Pradesh - 2018,09-Jan 6pm,13889.60
Uttar Pradesh - 2018,09-Jan 7pm,13292.94
Uttar Pradesh - 2018,09-Jan 8pm,13322.38
Uttar Pradesh - 2018,09-Jan 9pm,13586.60
Uttar Pradesh - 2018,09-Jan 10pm,13316.91
Uttar Pradesh - 2018,09-Jan 11pm,13023.46
Uttar Pradesh - 2018,10-Jan 12am,12198.21
Uttar Pradesh - 2018,10-Jan 1am,11720.39
Uttar Pradesh - 2018,10-Jan 2am,11459.19
Uttar Pradesh - 2018,10-Jan 3am,11403.47
Uttar Pradesh - 2018,10-Jan 4am,11643.62
Uttar Pradesh - 2018,10-Jan 5am,12498.32
Uttar Pradesh - 2018,10-Jan 6am,13997.45
Uttar Pradesh - 2018,10-Jan 7am,14626.62
Uttar Pradesh - 2018,10-Jan 8am,14265.00
Uttar Pradesh - 2018,10-Jan 9am,13673.11
Uttar Pradesh - 2018,10-Jan 10am,14001.63
Uttar Pradesh - 2018,10-Jan 11am,14009.96
Uttar Pradesh - 2018,10-Jan 12pm,13839.44
Uttar Pradesh - 2018,10-Jan 1pm,13569.87
Uttar Pradesh - 2018,10-Jan 2pm,13509.77
Uttar Pradesh - 2018,10-Jan 3pm,13285.49
Uttar Pradesh - 2018,10-Jan 4pm,13383.12
Uttar Pradesh - 2018,10-Jan 5pm,13632.24
Uttar Pradesh - 2018,10-Jan 6pm,14207.47
Uttar Pradesh - 2018,10-Jan 7pm,13811.69
Uttar Pradesh - 2018,10-Jan 8pm,13105.46
Uttar Pradesh - 2018,10-Jan 9pm,13029.61
Uttar Pradesh - 2018,10-Jan 10pm,13201.76
Uttar Pradesh - 2018,10-Jan 11pm,13090.84
Uttar Pradesh - 2018,11-Jan 12am,12364.13
Uttar Pradesh - 2018,11-Jan 1am,11887.24
Uttar Pradesh - 2018,11-Jan 2am,11648.47
Uttar Pradesh - 2018,11-Jan 3am,11569.93
Uttar Pradesh - 2018,11-Jan 4am,11780.98
Uttar Pradesh - 2018,11-Jan 5am,12582.95
Uttar Pradesh - 2018,11-Jan 6am,13805.02
Uttar Pradesh - 2018,11-Jan 7am,14292.43
Uttar Pradesh - 2018,11-Jan 8am,13490.89
Uttar Pradesh - 2018,11-Jan 9am,13148.59
Uttar Pradesh - 2018,11-Jan 10am,13212.24
Uttar Pradesh - 2018,11-Jan 11am,13348.46
Uttar Pradesh - 2018,11-Jan 12pm,12782.90
Uttar Pradesh - 2018,11-Jan 1pm,13051.81
Uttar Pradesh - 2018,11-Jan 2pm,13451.54
Uttar Pradesh - 2018,11-Jan 3pm,13325.88
Uttar Pradesh - 2018,11-Jan 4pm,13396.70
Uttar Pradesh - 2018,11-Jan 5pm,13726.89
Uttar Pradesh - 2018,11-Jan 6pm,14301.59
Uttar Pradesh - 2018,11-Jan 7pm,13564.82
Uttar Pradesh - 2018,11-Jan 8pm,13213.74
Uttar Pradesh - 2018,11-Jan 9pm,13294.27
Uttar Pradesh - 2018,11-Jan 10pm,13476.24
Uttar Pradesh - 2018,11-Jan 11pm,13209.96
Uttar Pradesh - 2018,12-Jan 12am,12460.60
Uttar Pradesh - 2018,12-Jan 1am,11922.12
Uttar Pradesh - 2018,12-Jan 2am,11698.72
Uttar Pradesh - 2018,12-Jan 3am,11640.75
Uttar Pradesh - 2018,12-Jan 4am,11917.33
Uttar Pradesh - 2018,12-Jan 5am,12928.93
Uttar Pradesh - 2018,12-Jan 6am,14242.43
Uttar Pradesh - 2018,12-Jan 7am,14586.72
Uttar Pradesh - 2018,12-Jan 8am,14012.02
Uttar Pradesh - 2018,12-Jan 9am,13794.60
Uttar Pradesh - 2018,12-Jan 10am,13581.76
Uttar Pradesh - 2018,12-Jan 11am,13153.11
Uttar Pradesh - 2018,12-Jan 12pm,12702.62
