date,average_tmin
2017-01-01,10.153378466765085
2017-01-02,10.191440264383951
2017-01-03,10.283576607704163
2017-01-04,9.266044855117798
2017-01-05,8.873158474763235
2017-01-06,9.533494671185812
2017-01-07,10.394182205200195
2017-01-08,10.21790991226832
2017-01-09,9.502454260985056
2017-01-10,8.26534503698349
2017-01-11,5.027779370546341
2017-01-12,3.6056020259857178
2017-01-13,3.360945542653402
2017-01-14,3.5969967345396676
2017-01-15,5.713113784790039
2017-01-16,7.632985234260559
2017-01-17,8.036054074764252
2017-01-18,7.063654402891795
2017-01-19,7.228002210458119
2017-01-20,7.9478005568186445
2017-01-21,8.051676472028097
2017-01-22,8.993980288505554
2017-01-23,10.006287654240927
2017-01-24,10.748420039812723
2017-01-25,11.346265117327372
2017-01-26,12.137198527654013
2017-01-27,13.1109037399292
2017-01-28,9.30844360589981
2017-01-29,10.090683499972025
2017-01-30,9.276539524396261
2017-01-31,9.416644295056662
2017-02-01,9.870666801929474
2017-02-02,9.818642258644104
2017-02-03,9.350752234458923
2017-02-04,10.81516440709432
2017-02-05,12.136965672175089
2017-02-06,12.529287576675415
2017-02-07,10.442531645298004
2017-02-08,9.130623896916708
2017-02-09,9.38030336300532
2017-02-10,9.439695020516714
2017-02-11,8.546103537082672
2017-02-12,10.356477280457815
2017-02-13,10.947390973567963
2017-02-14,10.902745445569357
2017-02-15,9.743170301119486
2017-02-16,11.401651899019877
2017-02-17,12.816829681396484
2017-02-18,13.05070416132609
2017-02-19,14.108513116836548
2017-02-20,14.837931911150614
2017-02-21,15.377557118733725
2017-02-22,12.457487861315409
2017-02-23,11.047981003920237
2017-02-24,9.960195819536844
2017-02-25,10.269531965255737
2017-02-26,11.055302381515503
2017-02-27,10.850707014401754
2017-02-28,11.689972758293152
2017-03-01,14.325558741887411
2017-03-02,15.249193549156189
2017-03-03,14.21257746219635
2017-03-04,13.597827911376953
2017-03-05,12.359910051027933
2017-03-06,11.269708812236786
2017-03-07,11.869434793790182
2017-03-08,14.753814538319906
2017-03-09,14.69487476348877
2017-03-10,14.671745578447977
2017-03-11,12.521117468674978
2017-03-12,10.2088041305542
2017-03-13,9.366783102353414
2017-03-14,9.62745181719462
2017-03-15,11.541364550590515
2017-03-16,12.571268479029337
2017-03-17,14.239792386690775
2017-03-18,13.830219825108847
2017-03-19,15.246915539105734
2017-03-20,14.521377801895142
2017-03-21,14.557383934656778
2017-03-22,16.222062706947327
2017-03-23,17.71644635995229
2017-03-24,19.572059869766235
2017-03-25,18.826030890146892
2017-03-26,19.061540444691975
2017-03-27,19.200560728708904
2017-03-28,20.19132137298584
2017-03-29,21.192269961039226
2017-03-30,21.148298422495525
2017-03-31,20.95091168085734
2017-04-01,21.368292888005573
2017-04-02,21.427253087361652
2017-04-03,21.106361230214436
2017-04-04,21.94432282447815
2017-04-05,22.044812361399334
2017-04-06,22.30733625094096
2017-04-07,21.918888767560322
2017-04-08,19.858617663383484
2017-04-09,18.61894730726878
2017-04-10,17.397051175435383
2017-04-11,17.760940392812092
2017-04-12,18.754538377126057
2017-04-13,19.792046348253887
2017-04-14,21.4106543858846
2017-04-15,22.06547490755717
2017-04-16,21.769639492034912
2017-04-17,23.35508457819621
2017-04-18,24.020848592122395
2017-04-19,25.0529305934906
2017-04-20,24.636880079905193
2017-04-21,25.153867801030476
2017-04-22,25.80181360244751
2017-04-23,25.07067807515462
2017-04-24,22.842518885930378
2017-04-25,23.881047010421753
2017-04-26,23.08411979675293
2017-04-27,22.481924136479694
2017-04-28,22.31254045168559
2017-04-29,23.051048517227173
2017-04-30,23.924844980239868
2017-05-01,22.32793124516805
2017-05-02,21.692807753880818
2017-05-03,22.70366319020589
2017-05-04,24.266563018163044
2017-05-05,23.266263405481975
2017-05-06,23.843567609786987
2017-05-07,24.643909136454266
2017-05-08,26.53984038035075
2017-05-09,24.165859540303547
2017-05-10,25.073802709579468
2017-05-11,25.115947246551514
2017-05-12,26.43878634770711
2017-05-13,25.896849234898884
2017-05-14,26.70119547843933
2017-05-15,27.28802450497945
2017-05-16,27.306504329045612
2017-05-17,26.350528637568157
2017-05-18,23.37197748819987
2017-05-19,25.44100046157837
2017-05-20,24.828343947728474
2017-05-21,25.960079669952393
2017-05-22,25.129565636316936
2017-05-23,25.294480323791504
2017-05-24,25.6415061155955
2017-05-25,26.819432973861694
2017-05-26,26.997305870056152
2017-05-27,25.150391896565754
2017-05-28,25.397257884343464
2017-05-29,22.439949830373127
2017-05-30,23.62036879857381
2017-05-31,24.799253543217976
2017-06-01,24.666027704874676
2017-06-02,25.063043196996052
2017-06-03,26.340778191884358
2017-06-04,28.463170766830444
2017-06-05,30.278556664784748
2017-06-06,27.844836791356403
2017-06-07,24.712647279103596
2017-06-08,25.544195969899494
2017-06-09,25.18251673380534
2017-06-10,25.824928442637127
2017-06-11,26.151979287465412
2017-06-12,25.829534928003948
2017-06-13,26.63906216621399
2017-06-14,27.326417922973633
2017-06-15,25.968066930770874
2017-06-16,25.58008925120036
2017-06-17,24.86924123764038
2017-06-18,26.191449801127117
2017-06-19,26.574910640716553
2017-06-20,25.47249436378479
2017-06-21,24.144422849019367
2017-06-22,24.227723836898804
2017-06-23,25.049240668614704
2017-06-24,26.622469425201416
2017-06-25,27.798176209131878
2017-06-26,27.562862873077393
2017-06-27,27.856996297836304
2017-06-28,26.5994238058726
2017-06-29,25.14739998181661
2017-06-30,25.402337789535522
2017-07-01,25.896363496780396
2017-07-02,25.698317289352417
2017-07-03,25.82086435953776
2017-07-04,25.77290654182434
