State,Date,Hourly Demand Met (in MW)
Uttar Pradesh - 2019,01-Jan 12am,11589.77
Uttar Pradesh - 2019,01-Jan 1am,11122.40
Uttar Pradesh - 2019,01-Jan 2am,10842.62
Uttar Pradesh - 2019,01-Jan 3am,10774.88
Uttar Pradesh - 2019,01-Jan 4am,11192.18
Uttar Pradesh - 2019,01-Jan 5am,12445.67
Uttar Pradesh - 2019,01-Jan 6am,13566.97
Uttar Pradesh - 2019,01-Jan 7am,13195.87
Uttar Pradesh - 2019,01-Jan 8am,12525.58
Uttar Pradesh - 2019,01-Jan 9am,12692.31
Uttar Pradesh - 2019,01-Jan 10am,12402.15
Uttar Pradesh - 2019,01-Jan 11am,12978.46
Uttar Pradesh - 2019,01-Jan 12pm,13064.62
Uttar Pradesh - 2019,01-Jan 1pm,12867.36
Uttar Pradesh - 2019,01-Jan 2pm,12994.99
Uttar Pradesh - 2019,01-Jan 3pm,13173.57
Uttar Pradesh - 2019,01-Jan 4pm,13136.86
Uttar Pradesh - 2019,01-Jan 5pm,13490.60
Uttar Pradesh - 2019,01-Jan 6pm,14688.84
Uttar Pradesh - 2019,01-Jan 7pm,13770.29
Uttar Pradesh - 2019,01-Jan 8pm,12759.99
Uttar Pradesh - 2019,01-Jan 9pm,11821.38
Uttar Pradesh - 2019,01-Jan 10pm,11920.17
Uttar Pradesh - 2019,01-Jan 11pm,11737.80
Uttar Pradesh - 2019,02-Jan 12am,11086.91
Uttar Pradesh - 2019,02-Jan 1am,10645.59
Uttar Pradesh - 2019,02-Jan 2am,10307.65
Uttar Pradesh - 2019,02-Jan 3am,10289.96
Uttar Pradesh - 2019,02-Jan 4am,10695.75
Uttar Pradesh - 2019,02-Jan 5am,11975.41
Uttar Pradesh - 2019,02-Jan 6am,13185.40
Uttar Pradesh - 2019,02-Jan 7am,13459.34
Uttar Pradesh - 2019,02-Jan 8am,12730.01
Uttar Pradesh - 2019,02-Jan 9am,10894.22
Uttar Pradesh - 2019,02-Jan 10am,10934.78
Uttar Pradesh - 2019,02-Jan 11am,11536.17
Uttar Pradesh - 2019,02-Jan 12pm,11792.56
Uttar Pradesh - 2019,02-Jan 1pm,11792.09
Uttar Pradesh - 2019,02-Jan 2pm,12190.97
Uttar Pradesh - 2019,02-Jan 3pm,12582.87
Uttar Pradesh - 2019,02-Jan 4pm,12277.04
Uttar Pradesh - 2019,02-Jan 5pm,13369.37
Uttar Pradesh - 2019,02-Jan 6pm,14006.55
Uttar Pradesh - 2019,02-Jan 7pm,13675.03
Uttar Pradesh - 2019,02-Jan 8pm,13645.12
Uttar Pradesh - 2019,02-Jan 9pm,13433.99
Uttar Pradesh - 2019,02-Jan 10pm,13099.56
Uttar Pradesh - 2019,02-Jan 11pm,12068.76
Uttar Pradesh - 2019,03-Jan 12am,11366.19
Uttar Pradesh - 2019,03-Jan 1am,10874.86
Uttar Pradesh - 2019,03-Jan 2am,10570.52
Uttar Pradesh - 2019,03-Jan 3am,10575.61
Uttar Pradesh - 2019,03-Jan 4am,10987.84
Uttar Pradesh - 2019,03-Jan 5am,11963.56
Uttar Pradesh - 2019,03-Jan 6am,13461.84
Uttar Pradesh - 2019,03-Jan 7am,13397.34
Uttar Pradesh - 2019,03-Jan 8am,13007.78
Uttar Pradesh - 2019,03-Jan 9am,12864.91
Uttar Pradesh - 2019,03-Jan 10am,11958.01
Uttar Pradesh - 2019,03-Jan 11am,12857.75
Uttar Pradesh - 2019,03-Jan 12pm,12587.90
Uttar Pradesh - 2019,03-Jan 1pm,12708.43
Uttar Pradesh - 2019,03-Jan 2pm,12792.93
Uttar Pradesh - 2019,03-Jan 3pm,13029.10
Uttar Pradesh - 2019,03-Jan 4pm,12463.20
Uttar Pradesh - 2019,03-Jan 5pm,13180.02
Uttar Pradesh - 2019,03-Jan 6pm,14000.07
Uttar Pradesh - 2019,03-Jan 7pm,13066.33
Uttar Pradesh - 2019,03-Jan 8pm,12623.21
Uttar Pradesh - 2019,03-Jan 9pm,12318.54
Uttar Pradesh - 2019,03-Jan 10pm,12421.40
Uttar Pradesh - 2019,03-Jan 11pm,11937.71
Uttar Pradesh - 2019,04-Jan 12am,11421.78
Uttar Pradesh - 2019,04-Jan 1am,11016.62
Uttar Pradesh - 2019,04-Jan 2am,10889.36
Uttar Pradesh - 2019,04-Jan 3am,10719.45
Uttar Pradesh - 2019,04-Jan 4am,11078.41
Uttar Pradesh - 2019,04-Jan 5am,12222.03
Uttar Pradesh - 2019,04-Jan 6am,13075.53
Uttar Pradesh - 2019,04-Jan 7am,13129.17
Uttar Pradesh - 2019,04-Jan 8am,12170.70
Uttar Pradesh - 2019,04-Jan 9am,12126.25
Uttar Pradesh - 2019,04-Jan 10am,12244.97
Uttar Pradesh - 2019,04-Jan 11am,12380.05
Uttar Pradesh - 2019,04-Jan 12pm,12743.32
Uttar Pradesh - 2019,04-Jan 1pm,12562.89
Uttar Pradesh - 2019,04-Jan 2pm,12609.46
Uttar Pradesh - 2019,04-Jan 3pm,12459.67
Uttar Pradesh - 2019,04-Jan 4pm,12229.84
Uttar Pradesh - 2019,04-Jan 5pm,13112.02
Uttar Pradesh - 2019,04-Jan 6pm,13519.54
Uttar Pradesh - 2019,04-Jan 7pm,13541.12
Uttar Pradesh - 2019,04-Jan 8pm,12729.64
Uttar Pradesh - 2019,04-Jan 9pm,13027.49
Uttar Pradesh - 2019,04-Jan 10pm,12933.05
Uttar Pradesh - 2019,04-Jan 11pm,12165.99
Uttar Pradesh - 2019,05-Jan 12am,11427.63
Uttar Pradesh - 2019,05-Jan 1am,10830.48
Uttar Pradesh - 2019,05-Jan 2am,10589.53
Uttar Pradesh - 2019,05-Jan 3am,10610.00
Uttar Pradesh - 2019,05-Jan 4am,10826.07
Uttar Pradesh - 2019,05-Jan 5am,11816.44
Uttar Pradesh - 2019,05-Jan 6am,13142.64
Uttar Pradesh - 2019,05-Jan 7am,12300.78
Uttar Pradesh - 2019,05-Jan 8am,11899.40
Uttar Pradesh - 2019,05-Jan 9am,12179.89
Uttar Pradesh - 2019,05-Jan 10am,11664.16
Uttar Pradesh - 2019,05-Jan 11am,12768.80
Uttar Pradesh - 2019,05-Jan 12pm,12420.46
Uttar Pradesh - 2019,05-Jan 1pm,12582.58
Uttar Pradesh - 2019,05-Jan 2pm,12771.19
Uttar Pradesh - 2019,05-Jan 3pm,12340.48
Uttar Pradesh - 2019,05-Jan 4pm,11977.16
Uttar Pradesh - 2019,05-Jan 5pm,13085.40
Uttar Pradesh - 2019,05-Jan 6pm,14389.45
Uttar Pradesh - 2019,05-Jan 7pm,13652.01
Uttar Pradesh - 2019,05-Jan 8pm,13012.78
Uttar Pradesh - 2019,05-Jan 9pm,13160.61
Uttar Pradesh - 2019,05-Jan 10pm,12834.72
Uttar Pradesh - 2019,05-Jan 11pm,12069.16
Uttar Pradesh - 2019,06-Jan 12am,11367.95
Uttar Pradesh - 2019,06-Jan 1am,10883.01
Uttar Pradesh - 2019,06-Jan 2am,10605.29
Uttar Pradesh - 2019,06-Jan 3am,10528.58
Uttar Pradesh - 2019,06-Jan 4am,10895.63
Uttar Pradesh - 2019,06-Jan 5am,11980.78
Uttar Pradesh - 2019,06-Jan 6am,13531.86
Uttar Pradesh - 2019,06-Jan 7am,13421.98
Uttar Pradesh - 2019,06-Jan 8am,12421.32
Uttar Pradesh - 2019,06-Jan 9am,12258.56
Uttar Pradesh - 2019,06-Jan 10am,11710.57
Uttar Pradesh - 2019,06-Jan 11am,12017.42
Uttar Pradesh - 2019,06-Jan 12pm,11815.06
Uttar Pradesh - 2019,06-Jan 1pm,12140.85
Uttar Pradesh - 2019,06-Jan 2pm,11777.08
Uttar Pradesh - 2019,06-Jan 3pm,11874.70
Uttar Pradesh - 2019,06-Jan 4pm,11829.38
Uttar Pradesh - 2019,06-Jan 5pm,13035.51
Uttar Pradesh - 2019,06-Jan 6pm,14291.97
Uttar Pradesh - 2019,06-Jan 7pm,13453.10
Uttar Pradesh - 2019,06-Jan 8pm,12220.87
Uttar Pradesh - 2019,06-Jan 9pm,11669.54
Uttar Pradesh - 2019,06-Jan 10pm,11191.11
Uttar Pradesh - 2019,06-Jan 11pm,10637.21
Uttar Pradesh - 2019,07-Jan 12am,9998.00
Uttar Pradesh - 2019,07-Jan 1am,9426.92
Uttar Pradesh - 2019,07-Jan 2am,8962.22
Uttar Pradesh - 2019,07-Jan 3am,8923.21
Uttar Pradesh - 2019,07-Jan 4am,9265.95
Uttar Pradesh - 2019,07-Jan 5am,10509.56
Uttar Pradesh - 2019,07-Jan 6am,12338.39
Uttar Pradesh - 2019,07-Jan 7am,12589.84
Uttar Pradesh - 2019,07-Jan 8am,11580.55
Uttar Pradesh - 2019,07-Jan 9am,12033.86
Uttar Pradesh - 2019,07-Jan 10am,11625.45
Uttar Pradesh - 2019,07-Jan 11am,12265.42
Uttar Pradesh - 2019,07-Jan 12pm,12275.31
Uttar Pradesh - 2019,07-Jan 1pm,12070.53
Uttar Pradesh - 2019,07-Jan 2pm,11896.28
Uttar Pradesh - 2019,07-Jan 3pm,11804.75
Uttar Pradesh - 2019,07-Jan 4pm,12340.78
Uttar Pradesh - 2019,07-Jan 5pm,13261.12
Uttar Pradesh - 2019,07-Jan 6pm,14263.03
Uttar Pradesh - 2019,07-Jan 7pm,13341.43
Uttar Pradesh - 2019,07-Jan 8pm,12754.03
Uttar Pradesh - 2019,07-Jan 9pm,12734.63
Uttar Pradesh - 2019,07-Jan 10pm,12498.11
Uttar Pradesh - 2019,07-Jan 11pm,11999.08
Uttar Pradesh - 2019,08-Jan 12am,11337.30
Uttar Pradesh - 2019,08-Jan 1am,10913.23
Uttar Pradesh - 2019,08-Jan 2am,10701.33
Uttar Pradesh - 2019,08-Jan 3am,10610.08
Uttar Pradesh - 2019,08-Jan 4am,10899.85
Uttar Pradesh - 2019,08-Jan 5am,12112.12
Uttar Pradesh - 2019,08-Jan 6am,12977.96
Uttar Pradesh - 2019,08-Jan 7am,12724.39
Uttar Pradesh - 2019,08-Jan 8am,11946.95
Uttar Pradesh - 2019,08-Jan 9am,12399.38
Uttar Pradesh - 2019,08-Jan 10am,12416.41
Uttar Pradesh - 2019,08-Jan 11am,12722.39
Uttar Pradesh - 2019,08-Jan 12pm,12772.68
Uttar Pradesh - 2019,08-Jan 1pm,12708.29
Uttar Pradesh - 2019,08-Jan 2pm,12502.37
Uttar Pradesh - 2019,08-Jan 3pm,12319.20
Uttar Pradesh - 2019,08-Jan 4pm,11960.38
Uttar Pradesh - 2019,08-Jan 5pm,12907.33
Uttar Pradesh - 2019,08-Jan 6pm,14538.49
Uttar Pradesh - 2019,08-Jan 7pm,13675.12
Uttar Pradesh - 2019,08-Jan 8pm,12905.51
Uttar Pradesh - 2019,08-Jan 9pm,12819.28
Uttar Pradesh - 2019,08-Jan 10pm,12781.30
Uttar Pradesh - 2019,08-Jan 11pm,12181.92
Uttar Pradesh - 2019,09-Jan 12am,11592.55
Uttar Pradesh - 2019,09-Jan 1am,11112.17
Uttar Pradesh - 2019,09-Jan 2am,10879.40
Uttar Pradesh - 2019,09-Jan 3am,10828.86
Uttar Pradesh - 2019,09-Jan 4am,11169.50
Uttar Pradesh - 2019,09-Jan 5am,12314.12
Uttar Pradesh - 2019,09-Jan 6am,13343.66
Uttar Pradesh - 2019,09-Jan 7am,12518.41
Uttar Pradesh - 2019,09-Jan 8am,11197.91
Uttar Pradesh - 2019,09-Jan 9am,12069.29
Uttar Pradesh - 2019,09-Jan 10am,12390.68
Uttar Pradesh - 2019,09-Jan 11am,12383.22
Uttar Pradesh - 2019,09-Jan 12pm,12888.07
Uttar Pradesh - 2019,09-Jan 1pm,12413.91
Uttar Pradesh - 2019,09-Jan 2pm,12496.24
Uttar Pradesh - 2019,09-Jan 3pm,12463.85
Uttar Pradesh - 2019,09-Jan 4pm,12677.08
Uttar Pradesh - 2019,09-Jan 5pm,12711.84
Uttar Pradesh - 2019,09-Jan 6pm,14095.70
Uttar Pradesh - 2019,09-Jan 7pm,13743.02
Uttar Pradesh - 2019,09-Jan 8pm,12870.50
Uttar Pradesh - 2019,09-Jan 9pm,12768.03
Uttar Pradesh - 2019,09-Jan 10pm,12370.58
