State,Date,Hourly Demand Met (in MW)
Uttar Pradesh - 2023,01-Jan 12am,12193.36
Uttar Pradesh - 2023,01-Jan 1am,10981.98
Uttar Pradesh - 2023,01-Jan 2am,10352.86
Uttar Pradesh - 2023,01-Jan 3am,10446.56
Uttar Pradesh - 2023,01-Jan 4am,10959.65
Uttar Pradesh - 2023,01-Jan 5am,11718.52
Uttar Pradesh - 2023,01-Jan 6am,11907.02
Uttar Pradesh - 2023,01-Jan 7am,11686.92
Uttar Pradesh - 2023,01-Jan 8am,12807.51
Uttar Pradesh - 2023,01-Jan 9am,14409.25
Uttar Pradesh - 2023,01-Jan 10am,15453.65
Uttar Pradesh - 2023,01-Jan 11am,15406.51
Uttar Pradesh - 2023,01-Jan 12pm,15312.07
Uttar Pradesh - 2023,01-Jan 1pm,15688.74
Uttar Pradesh - 2023,01-Jan 2pm,16030.69
Uttar Pradesh - 2023,01-Jan 3pm,14610.88
Uttar Pradesh - 2023,01-Jan 4pm,13860.79
Uttar Pradesh - 2023,01-Jan 5pm,14555.51
Uttar Pradesh - 2023,01-Jan 6pm,17832.32
Uttar Pradesh - 2023,01-Jan 7pm,18681.55
Uttar Pradesh - 2023,01-Jan 8pm,17586.31
Uttar Pradesh - 2023,01-Jan 9pm,16066.05
Uttar Pradesh - 2023,01-Jan 10pm,14197.34
Uttar Pradesh - 2023,01-Jan 11pm,12707.76
Uttar Pradesh - 2023,02-Jan 12am,11567.50
Uttar Pradesh - 2023,02-Jan 1am,10605.09
Uttar Pradesh - 2023,02-Jan 2am,10445.64
Uttar Pradesh - 2023,02-Jan 3am,10474.85
Uttar Pradesh - 2023,02-Jan 4am,10638.00
Uttar Pradesh - 2023,02-Jan 5am,11658.01
Uttar Pradesh - 2023,02-Jan 6am,11903.50
Uttar Pradesh - 2023,02-Jan 7am,12061.18
Uttar Pradesh - 2023,02-Jan 8am,13286.72
Uttar Pradesh - 2023,02-Jan 9am,14965.92
Uttar Pradesh - 2023,02-Jan 10am,15853.44
Uttar Pradesh - 2023,02-Jan 11am,15798.74
Uttar Pradesh - 2023,02-Jan 12pm,15935.43
Uttar Pradesh - 2023,02-Jan 1pm,15944.98
Uttar Pradesh - 2023,02-Jan 2pm,15529.97
Uttar Pradesh - 2023,02-Jan 3pm,14649.06
Uttar Pradesh - 2023,02-Jan 4pm,14061.07
Uttar Pradesh - 2023,02-Jan 5pm,14712.65
Uttar Pradesh - 2023,02-Jan 6pm,17801.45
Uttar Pradesh - 2023,02-Jan 7pm,19530.81
Uttar Pradesh - 2023,02-Jan 8pm,19168.67
Uttar Pradesh - 2023,02-Jan 9pm,17666.11
Uttar Pradesh - 2023,02-Jan 10pm,15585.09
Uttar Pradesh - 2023,02-Jan 11pm,13732.57
Uttar Pradesh - 2023,03-Jan 12am,12489.64
Uttar Pradesh - 2023,03-Jan 1am,11172.05
Uttar Pradesh - 2023,03-Jan 2am,10800.63
Uttar Pradesh - 2023,03-Jan 3am,11058.13
Uttar Pradesh - 2023,03-Jan 4am,11592.48
Uttar Pradesh - 2023,03-Jan 5am,12977.87
Uttar Pradesh - 2023,03-Jan 6am,12538.34
Uttar Pradesh - 2023,03-Jan 7am,13281.44
Uttar Pradesh - 2023,03-Jan 8am,14020.05
Uttar Pradesh - 2023,03-Jan 9am,14827.84
Uttar Pradesh - 2023,03-Jan 10am,15633.32
Uttar Pradesh - 2023,03-Jan 11am,16288.03
Uttar Pradesh - 2023,03-Jan 12pm,16234.51
Uttar Pradesh - 2023,03-Jan 1pm,16707.97
Uttar Pradesh - 2023,03-Jan 2pm,16946.32
Uttar Pradesh - 2023,03-Jan 3pm,15607.01
Uttar Pradesh - 2023,03-Jan 4pm,14617.10
Uttar Pradesh - 2023,03-Jan 5pm,14997.22
Uttar Pradesh - 2023,03-Jan 6pm,18564.36
Uttar Pradesh - 2023,03-Jan 7pm,19957.49
Uttar Pradesh - 2023,03-Jan 8pm,19605.79
Uttar Pradesh - 2023,03-Jan 9pm,18090.26
Uttar Pradesh - 2023,03-Jan 10pm,15993.47
Uttar Pradesh - 2023,03-Jan 11pm,14041.20
Uttar Pradesh - 2023,04-Jan 12am,12786.07
Uttar Pradesh - 2023,04-Jan 1am,11813.68
Uttar Pradesh - 2023,04-Jan 2am,11409.18
Uttar Pradesh - 2023,04-Jan 3am,10982.73
Uttar Pradesh - 2023,04-Jan 4am,11396.89
Uttar Pradesh - 2023,04-Jan 5am,13064.70
Uttar Pradesh - 2023,04-Jan 6am,13237.37
Uttar Pradesh - 2023,04-Jan 7am,14080.83
Uttar Pradesh - 2023,04-Jan 8am,15230.60
Uttar Pradesh - 2023,04-Jan 9am,16279.36
Uttar Pradesh - 2023,04-Jan 10am,17143.37
Uttar Pradesh - 2023,04-Jan 11am,17626.61
Uttar Pradesh - 2023,04-Jan 12pm,17893.40
Uttar Pradesh - 2023,04-Jan 1pm,18256.84
Uttar Pradesh - 2023,04-Jan 2pm,17923.81
Uttar Pradesh - 2023,04-Jan 3pm,16273.08
Uttar Pradesh - 2023,04-Jan 4pm,14560.52
Uttar Pradesh - 2023,04-Jan 5pm,15508.68
Uttar Pradesh - 2023,04-Jan 6pm,18740.47
Uttar Pradesh - 2023,04-Jan 7pm,20984.55
Uttar Pradesh - 2023,04-Jan 8pm,20100.39
Uttar Pradesh - 2023,04-Jan 9pm,18448.31
Uttar Pradesh - 2023,04-Jan 10pm,16365.86
Uttar Pradesh - 2023,04-Jan 11pm,14418.22
Uttar Pradesh - 2023,05-Jan 12am,12686.50
Uttar Pradesh - 2023,05-Jan 1am,11663.72
Uttar Pradesh - 2023,05-Jan 2am,11214.67
Uttar Pradesh - 2023,05-Jan 3am,11138.80
Uttar Pradesh - 2023,05-Jan 4am,11588.57
Uttar Pradesh - 2023,05-Jan 5am,12789.59
Uttar Pradesh - 2023,05-Jan 6am,12633.35
Uttar Pradesh - 2023,05-Jan 7am,13169.27
Uttar Pradesh - 2023,05-Jan 8am,14801.66
Uttar Pradesh - 2023,05-Jan 9am,16230.36
Uttar Pradesh - 2023,05-Jan 10am,16479.59
Uttar Pradesh - 2023,05-Jan 11am,17232.67
Uttar Pradesh - 2023,05-Jan 12pm,17718.16
Uttar Pradesh - 2023,05-Jan 1pm,18070.80
Uttar Pradesh - 2023,05-Jan 2pm,17744.30
Uttar Pradesh - 2023,05-Jan 3pm,17383.04
Uttar Pradesh - 2023,05-Jan 4pm,16275.73
Uttar Pradesh - 2023,05-Jan 5pm,17382.44
Uttar Pradesh - 2023,05-Jan 6pm,19319.66
Uttar Pradesh - 2023,05-Jan 7pm,20569.91
Uttar Pradesh - 2023,05-Jan 8pm,20231.99
Uttar Pradesh - 2023,05-Jan 9pm,18862.81
Uttar Pradesh - 2023,05-Jan 10pm,16798.92
Uttar Pradesh - 2023,05-Jan 11pm,14734.29
Uttar Pradesh - 2023,06-Jan 12am,12894.96
Uttar Pradesh - 2023,06-Jan 1am,11717.87
Uttar Pradesh - 2023,06-Jan 2am,11351.93
Uttar Pradesh - 2023,06-Jan 3am,11442.83
Uttar Pradesh - 2023,06-Jan 4am,12076.90
Uttar Pradesh - 2023,06-Jan 5am,13151.29
Uttar Pradesh - 2023,06-Jan 6am,12801.01
Uttar Pradesh - 2023,06-Jan 7am,13453.94
Uttar Pradesh - 2023,06-Jan 8am,15687.79
Uttar Pradesh - 2023,06-Jan 9am,16559.46
Uttar Pradesh - 2023,06-Jan 10am,16974.75
Uttar Pradesh - 2023,06-Jan 11am,17699.80
Uttar Pradesh - 2023,06-Jan 12pm,18158.20
Uttar Pradesh - 2023,06-Jan 1pm,18173.23
Uttar Pradesh - 2023,06-Jan 2pm,17837.85
Uttar Pradesh - 2023,06-Jan 3pm,17134.88
Uttar Pradesh - 2023,06-Jan 4pm,16517.52
Uttar Pradesh - 2023,06-Jan 5pm,17513.41
Uttar Pradesh - 2023,06-Jan 6pm,19602.35
Uttar Pradesh - 2023,06-Jan 7pm,20718.79
Uttar Pradesh - 2023,06-Jan 8pm,20594.20
Uttar Pradesh - 2023,06-Jan 9pm,18834.38
Uttar Pradesh - 2023,06-Jan 10pm,16758.30
Uttar Pradesh - 2023,06-Jan 11pm,14736.03
Uttar Pradesh - 2023,07-Jan 12am,13096.30
Uttar Pradesh - 2023,07-Jan 1am,11754.63
Uttar Pradesh - 2023,07-Jan 2am,10768.87
Uttar Pradesh - 2023,07-Jan 3am,10637.53
Uttar Pradesh - 2023,07-Jan 4am,11430.46
Uttar Pradesh - 2023,07-Jan 5am,12364.67
Uttar Pradesh - 2023,07-Jan 6am,12871.47
Uttar Pradesh - 2023,07-Jan 7am,12849.32
Uttar Pradesh - 2023,07-Jan 8am,14947.00
Uttar Pradesh - 2023,07-Jan 9am,15513.73
Uttar Pradesh - 2023,07-Jan 10am,16320.15
Uttar Pradesh - 2023,07-Jan 11am,16576.68
Uttar Pradesh - 2023,07-Jan 12pm,16683.51
Uttar Pradesh - 2023,07-Jan 1pm,16980.43
Uttar Pradesh - 2023,07-Jan 2pm,16359.40
Uttar Pradesh - 2023,07-Jan 3pm,15761.63
Uttar Pradesh - 2023,07-Jan 4pm,15255.48
Uttar Pradesh - 2023,07-Jan 5pm,16560.51
Uttar Pradesh - 2023,07-Jan 6pm,19047.38
Uttar Pradesh - 2023,07-Jan 7pm,20037.59
Uttar Pradesh - 2023,07-Jan 8pm,20267.33
Uttar Pradesh - 2023,07-Jan 9pm,19271.36
Uttar Pradesh - 2023,07-Jan 10pm,17288.39
Uttar Pradesh - 2023,07-Jan 11pm,15169.82
Uttar Pradesh - 2023,08-Jan 12am,13462.91
Uttar Pradesh - 2023,08-Jan 1am,12101.81
Uttar Pradesh - 2023,08-Jan 2am,11483.57
Uttar Pradesh - 2023,08-Jan 3am,11465.06
Uttar Pradesh - 2023,08-Jan 4am,12018.06
Uttar Pradesh - 2023,08-Jan 5am,13131.01
Uttar Pradesh - 2023,08-Jan 6am,12892.99
Uttar Pradesh - 2023,08-Jan 7am,12372.73
Uttar Pradesh - 2023,08-Jan 8am,13973.11
Uttar Pradesh - 2023,08-Jan 9am,15758.12
Uttar Pradesh - 2023,08-Jan 10am,16425.49
Uttar Pradesh - 2023,08-Jan 11am,16996.57
Uttar Pradesh - 2023,08-Jan 12pm,17461.56
Uttar Pradesh - 2023,08-Jan 1pm,16690.14
Uttar Pradesh - 2023,08-Jan 2pm,17279.19
Uttar Pradesh - 2023,08-Jan 3pm,16828.88
Uttar Pradesh - 2023,08-Jan 4pm,16308.59
Uttar Pradesh - 2023,08-Jan 5pm,16691.52
Uttar Pradesh - 2023,08-Jan 6pm,18632.64
Uttar Pradesh - 2023,08-Jan 7pm,20487.07
Uttar Pradesh - 2023,08-Jan 8pm,20605.54
Uttar Pradesh - 2023,08-Jan 9pm,19192.36
Uttar Pradesh - 2023,08-Jan 10pm,17098.66
Uttar Pradesh - 2023,08-Jan 11pm,15404.27
Uttar Pradesh - 2023,09-Jan 12am,14144.53
Uttar Pradesh - 2023,09-Jan 1am,12487.65
Uttar Pradesh - 2023,09-Jan 2am,11747.04
Uttar Pradesh - 2023,09-Jan 3am,11770.61
Uttar Pradesh - 2023,09-Jan 4am,12245.20
Uttar Pradesh - 2023,09-Jan 5am,13157.36
Uttar Pradesh - 2023,09-Jan 6am,12719.74
Uttar Pradesh - 2023,09-Jan 7am,12604.86
Uttar Pradesh - 2023,09-Jan 8am,14025.19
Uttar Pradesh - 2023,09-Jan 9am,16243.75
Uttar Pradesh - 2023,09-Jan 10am,16843.46
Uttar Pradesh - 2023,09-Jan 11am,17082.60
Uttar Pradesh - 2023,09-Jan 12pm,17448.35
Uttar Pradesh - 2023,09-Jan 1pm,17412.38
Uttar Pradesh - 2023,09-Jan 2pm,17506.41
Uttar Pradesh - 2023,09-Jan 3pm,16951.25
Uttar Pradesh - 2023,09-Jan 4pm,16342.37
Uttar Pradesh - 2023,09-Jan 5pm,16861.32
Uttar Pradesh - 2023,09-Jan 6pm,18626.82
Uttar Pradesh - 2023,09-Jan 7pm,19551.50
Uttar Pradesh - 2023,09-Jan 8pm,20067.87
Uttar Pradesh - 2023,09-Jan 9pm,18984.55
Uttar Pradesh - 2023,09-Jan 10pm,17545.07
Uttar Pradesh - 2023,09-Jan 11pm,15449.19
Uttar Pradesh - 2023,10-Jan 12am,13740.53
Uttar Pradesh - 2023,10-Jan 1am,12547.22
Uttar Pradesh - 2023,10-Jan 2am,11915.57
Uttar Pradesh - 2023,10-Jan 3am,11774.41
Uttar Pradesh - 2023,10-Jan 4am,12326.67
Uttar Pradesh - 2023,10-Jan 5am,13505.27
Uttar Pradesh - 2023,10-Jan 6am,13543.44
Uttar Pradesh - 2023,10-Jan 7am,13111.17
Uttar Pradesh - 2023,10-Jan 8am,14890.89
Uttar Pradesh - 2023,10-Jan 9am,16198.84
Uttar Pradesh - 2023,10-Jan 10am,16472.94
Uttar Pradesh - 2023,10-Jan 11am,17513.25
Uttar Pradesh - 2023,10-Jan 12pm,17577.37
Uttar Pradesh - 2023,10-Jan 1pm,18222.80
Uttar Pradesh - 2023,10-Jan 2pm,17777.63
Uttar Pradesh - 2023,10-Jan 3pm,17597.20
Uttar Pradesh - 2023,10-Jan 4pm,16543.58
Uttar Pradesh - 2023,10-Jan 5pm,17330.84
Uttar Pradesh - 2023,10-Jan 6pm,18862.73
Uttar Pradesh - 2023,10-Jan 7pm,19823.14
Uttar Pradesh - 2023,10-Jan 8pm,19979.59
Uttar Pradesh - 2023,10-Jan 9pm,19622.39
Uttar Pradesh - 2023,10-Jan 10pm,17702.00
Uttar Pradesh - 2023,10-Jan 11pm,15448.95
Uttar Pradesh - 2023,11-Jan 12am,13405.90
Uttar Pradesh - 2023,11-Jan 1am,12347.86
Uttar Pradesh - 2023,11-Jan 2am,12047.72
Uttar Pradesh - 2023,11-Jan 3am,11888.84
Uttar Pradesh - 2023,11-Jan 4am,12355.78
Uttar Pradesh - 2023,11-Jan 5am,13594.13
Uttar Pradesh - 2023,11-Jan 6am,13452.68
Uttar Pradesh - 2023,11-Jan 7am,12504.85
Uttar Pradesh - 2023,11-Jan 8am,13800.21
Uttar Pradesh - 2023,11-Jan 9am,15575.07
Uttar Pradesh - 2023,11-Jan 10am,16618.15
Uttar Pradesh - 2023,11-Jan 11am,16977.33
Uttar Pradesh - 2023,11-Jan 12pm,18243.79
Uttar Pradesh - 2023,11-Jan 1pm,18603.10
Uttar Pradesh - 2023,11-Jan 2pm,18248.76
Uttar Pradesh - 2023,11-Jan 3pm,17438.44
Uttar Pradesh - 2023,11-Jan 4pm,16580.90
Uttar Pradesh - 2023,11-Jan 5pm,17235.36
Uttar Pradesh - 2023,11-Jan 6pm,18825.51
Uttar Pradesh - 2023,11-Jan 7pm,19716.20
Uttar Pradesh - 2023,11-Jan 8pm,20163.90
Uttar Pradesh - 2023,11-Jan 9pm,19598.75
Uttar Pradesh - 2023,11-Jan 10pm,17457.43
Uttar Pradesh - 2023,11-Jan 11pm,15335.12
Uttar Pradesh - 2023,12-Jan 12am,13480.75
Uttar Pradesh - 2023,12-Jan 1am,12147.59
Uttar Pradesh - 2023,12-Jan 2am,11472.61
Uttar Pradesh - 2023,12-Jan 3am,11265.08
Uttar Pradesh - 2023,12-Jan 4am,11706.49
Uttar Pradesh - 2023,12-Jan 5am,13013.06
Uttar Pradesh - 2023,12-Jan 6am,12594.17
Uttar Pradesh - 2023,12-Jan 7am,11489.86
Uttar Pradesh - 2023,12-Jan 8am,13117.42
Uttar Pradesh - 2023,12-Jan 9am,14604.85
Uttar Pradesh - 2023,12-Jan 10am,15632.82
Uttar Pradesh - 2023,12-Jan 11am,16185.51
Uttar Pradesh - 2023,12-Jan 12pm,16857.38
Uttar Pradesh - 2023,12-Jan 1pm,17046.44
Uttar Pradesh - 2023,12-Jan 2pm,17432.28
Uttar Pradesh - 2023,12-Jan 3pm,16543.40
Uttar Pradesh - 2023,12-Jan 4pm,15300.98
Uttar Pradesh - 2023,12-Jan 5pm,16186.79
Uttar Pradesh - 2023,12-Jan 6pm,17498.31
Uttar Pradesh - 2023,12-Jan 7pm,18926.99
Uttar Pradesh - 2023,12-Jan 8pm,19650.17
Uttar Pradesh - 2023,12-Jan 9pm,19066.70
Uttar Pradesh - 2023,12-Jan 10pm,16741.44
Uttar Pradesh - 2023,12-Jan 11pm,14698.16
Uttar Pradesh - 2023,13-Jan 12am,12909.97
Uttar Pradesh - 2023,13-Jan 1am,11539.33
Uttar Pradesh - 2023,13-Jan 2am,11265.55
Uttar Pradesh - 2023,13-Jan 3am,11485.92
Uttar Pradesh - 2023,13-Jan 4am,12046.10
Uttar Pradesh - 2023,13-Jan 5am,12543.32
Uttar Pradesh - 2023,13-Jan 6am,11536.57
Uttar Pradesh - 2023,13-Jan 7am,11285.14
Uttar Pradesh - 2023,13-Jan 8am,13149.84
Uttar Pradesh - 2023,13-Jan 9am,14483.56
Uttar Pradesh - 2023,13-Jan 10am,15637.21
Uttar Pradesh - 2023,13-Jan 11am,16351.42
