State,Date,Hourly Demand Met (in MW)
Maharashtra - 2020,01-Jan 12am,13643.05
Maharashtra - 2020,01-Jan 1am,13360.15
Maharashtra - 2020,01-Jan 2am,13196.36
Maharashtra - 2020,01-Jan 3am,13163.39
Maharashtra - 2020,01-Jan 4am,13521.77
Maharashtra - 2020,01-Jan 5am,14552.41
Maharashtra - 2020,01-Jan 6am,15810.39
Maharashtra - 2020,01-Jan 7am,16628.05
Maharashtra - 2020,01-Jan 8am,17119.78
Maharashtra - 2020,01-Jan 9am,17529.52
Maharashtra - 2020,01-Jan 10am,18079.04
Maharashtra - 2020,01-Jan 11am,18554.42
Maharashtra - 2020,01-Jan 12pm,18272.39
Maharashtra - 2020,01-Jan 1pm,17852.75
Maharashtra - 2020,01-Jan 2pm,17863.59
Maharashtra - 2020,01-Jan 3pm,17747.25
Maharashtra - 2020,01-Jan 4pm,17221.51
Maharashtra - 2020,01-Jan 5pm,16548.34
Maharashtra - 2020,01-Jan 6pm,16432.56
Maharashtra - 2020,01-Jan 7pm,16519.21
Maharashtra - 2020,01-Jan 8pm,15522.02
Maharashtra - 2020,01-Jan 9pm,14609.22
Maharashtra - 2020,01-Jan 10pm,14140.07
Maharashtra - 2020,01-Jan 11pm,13768.01
Maharashtra - 2020,02-Jan 12am,13455.02
Maharashtra - 2020,02-Jan 1am,13203.65
Maharashtra - 2020,02-Jan 2am,13099.02
Maharashtra - 2020,02-Jan 3am,13019.45
Maharashtra - 2020,02-Jan 4am,13323.28
Maharashtra - 2020,02-Jan 5am,14529.72
Maharashtra - 2020,02-Jan 6am,16021.19
Maharashtra - 2020,02-Jan 7am,17248.16
Maharashtra - 2020,02-Jan 8am,17569.46
Maharashtra - 2020,02-Jan 9am,17910.85
Maharashtra - 2020,02-Jan 10am,18499.87
Maharashtra - 2020,02-Jan 11am,18966.07
Maharashtra - 2020,02-Jan 12pm,19083.90
Maharashtra - 2020,02-Jan 1pm,18557.50
Maharashtra - 2020,02-Jan 2pm,18556.94
Maharashtra - 2020,02-Jan 3pm,18543.11
Maharashtra - 2020,02-Jan 4pm,18142.44
Maharashtra - 2020,02-Jan 5pm,17612.30
Maharashtra - 2020,02-Jan 6pm,17481.20
Maharashtra - 2020,02-Jan 7pm,17293.75
Maharashtra - 2020,02-Jan 8pm,16583.52
Maharashtra - 2020,02-Jan 9pm,16181.82
Maharashtra - 2020,02-Jan 10pm,15513.92
Maharashtra - 2020,02-Jan 11pm,15328.67
Maharashtra - 2020,03-Jan 12am,15055.61
Maharashtra - 2020,03-Jan 1am,14729.89
Maharashtra - 2020,03-Jan 2am,14523.33
Maharashtra - 2020,03-Jan 3am,14482.70
Maharashtra - 2020,03-Jan 4am,14960.27
Maharashtra - 2020,03-Jan 5am,15626.11
Maharashtra - 2020,03-Jan 6am,16831.04
Maharashtra - 2020,03-Jan 7am,18148.85
Maharashtra - 2020,03-Jan 8am,18473.81
Maharashtra - 2020,03-Jan 9am,18461.18
Maharashtra - 2020,03-Jan 10am,18867.13
Maharashtra - 2020,03-Jan 11am,19399.17
Maharashtra - 2020,03-Jan 12pm,18786.69
Maharashtra - 2020,03-Jan 1pm,18368.54
Maharashtra - 2020,03-Jan 2pm,18059.94
Maharashtra - 2020,03-Jan 3pm,17972.28
Maharashtra - 2020,03-Jan 4pm,17514.85
Maharashtra - 2020,03-Jan 5pm,17166.11
Maharashtra - 2020,03-Jan 6pm,16964.41
Maharashtra - 2020,03-Jan 7pm,16936.61
Maharashtra - 2020,03-Jan 8pm,16141.17
Maharashtra - 2020,03-Jan 9pm,15623.03
Maharashtra - 2020,03-Jan 10pm,15096.13
