State,Date,Hourly Demand Met (in MW)
Maharashtra - 2022,01-Jan 12am,15798.71
Maharashtra - 2022,01-Jan 1am,15730.76
Maharashtra - 2022,01-Jan 2am,15746.70
Maharashtra - 2022,01-Jan 3am,15773.81
Maharashtra - 2022,01-Jan 4am,16215.55
Maharashtra - 2022,01-Jan 5am,17176.53
Maharashtra - 2022,01-Jan 6am,18335.15
Maharashtra - 2022,01-Jan 7am,19557.03
Maharashtra - 2022,01-Jan 8am,20299.03
Maharashtra - 2022,01-Jan 9am,21533.69
Maharashtra - 2022,01-Jan 10am,22741.14
Maharashtra - 2022,01-Jan 11am,22827.59
Maharashtra - 2022,01-Jan 12pm,22316.68
Maharashtra - 2022,01-Jan 1pm,21632.53
Maharashtra - 2022,01-Jan 2pm,21585.54
Maharashtra - 2022,01-Jan 3pm,21627.11
Maharashtra - 2022,01-Jan 4pm,20926.13
Maharashtra - 2022,01-Jan 5pm,20027.99
Maharashtra - 2022,01-Jan 6pm,20051.60
Maharashtra - 2022,01-Jan 7pm,19858.22
Maharashtra - 2022,01-Jan 8pm,18638.05
Maharashtra - 2022,01-Jan 9pm,17840.34
Maharashtra - 2022,01-Jan 10pm,16995.19
Maharashtra - 2022,01-Jan 11pm,16722.22
Maharashtra - 2022,02-Jan 12am,16414.39
Maharashtra - 2022,02-Jan 1am,16354.10
Maharashtra - 2022,02-Jan 2am,16464.66
Maharashtra - 2022,02-Jan 3am,16647.05
Maharashtra - 2022,02-Jan 4am,17004.82
Maharashtra - 2022,02-Jan 5am,17850.75
Maharashtra - 2022,02-Jan 6am,18740.20
Maharashtra - 2022,02-Jan 7am,19761.99
Maharashtra - 2022,02-Jan 8am,20748.66
Maharashtra - 2022,02-Jan 9am,21982.06
Maharashtra - 2022,02-Jan 10am,23227.36
Maharashtra - 2022,02-Jan 11am,23468.56
Maharashtra - 2022,02-Jan 12pm,23109.76
Maharashtra - 2022,02-Jan 1pm,22565.52
Maharashtra - 2022,02-Jan 2pm,22237.27
Maharashtra - 2022,02-Jan 3pm,21987.93
Maharashtra - 2022,02-Jan 4pm,21081.10
Maharashtra - 2022,02-Jan 5pm,20071.30
Maharashtra - 2022,02-Jan 6pm,20035.65
Maharashtra - 2022,02-Jan 7pm,19750.84
Maharashtra - 2022,02-Jan 8pm,18406.33
Maharashtra - 2022,02-Jan 9pm,17703.06
Maharashtra - 2022,02-Jan 10pm,16995.52
Maharashtra - 2022,02-Jan 11pm,16637.80
Maharashtra - 2022,03-Jan 12am,16578.81
Maharashtra - 2022,03-Jan 1am,16650.31
Maharashtra - 2022,03-Jan 2am,16744.10
Maharashtra - 2022,03-Jan 3am,16798.46
Maharashtra - 2022,03-Jan 4am,17145.59
Maharashtra - 2022,03-Jan 5am,18155.04
Maharashtra - 2022,03-Jan 6am,19490.73
Maharashtra - 2022,03-Jan 7am,20821.96
Maharashtra - 2022,03-Jan 8am,21861.14
Maharashtra - 2022,03-Jan 9am,22978.26
Maharashtra - 2022,03-Jan 10am,24115.22
Maharashtra - 2022,03-Jan 11am,24238.83
Maharashtra - 2022,03-Jan 12pm,23875.94
Maharashtra - 2022,03-Jan 1pm,23437.87
Maharashtra - 2022,03-Jan 2pm,23466.88
Maharashtra - 2022,03-Jan 3pm,23561.69
Maharashtra - 2022,03-Jan 4pm,22741.14
Maharashtra - 2022,03-Jan 5pm,21674.91
Maharashtra - 2022,03-Jan 6pm,21908.23
Maharashtra - 2022,03-Jan 7pm,21280.81
Maharashtra - 2022,03-Jan 8pm,19859.43
Maharashtra - 2022,03-Jan 9pm,18990.64
Maharashtra - 2022,03-Jan 10pm,18240.95
Maharashtra - 2022,03-Jan 11pm,17917.48
Maharashtra - 2022,04-Jan 12am,17701.39
Maharashtra - 2022,04-Jan 1am,17680.70
Maharashtra - 2022,04-Jan 2am,17641.19
Maharashtra - 2022,04-Jan 3am,17678.89
Maharashtra - 2022,04-Jan 4am,17928.59
Maharashtra - 2022,04-Jan 5am,18778.80
Maharashtra - 2022,04-Jan 6am,20148.44
Maharashtra - 2022,04-Jan 7am,21512.22
Maharashtra - 2022,04-Jan 8am,22643.27
Maharashtra - 2022,04-Jan 9am,23809.74
Maharashtra - 2022,04-Jan 10am,24765.52
Maharashtra - 2022,04-Jan 11am,24865.80
Maharashtra - 2022,04-Jan 12pm,24339.23
Maharashtra - 2022,04-Jan 1pm,23355.64
Maharashtra - 2022,04-Jan 2pm,23576.64
Maharashtra - 2022,04-Jan 3pm,23513.60
Maharashtra - 2022,04-Jan 4pm,23110.76
Maharashtra - 2022,04-Jan 5pm,21937.43
Maharashtra - 2022,04-Jan 6pm,20903.68
Maharashtra - 2022,04-Jan 7pm,20066.27
Maharashtra - 2022,04-Jan 8pm,19413.40
Maharashtra - 2022,04-Jan 9pm,18933.52
Maharashtra - 2022,04-Jan 10pm,18615.11
Maharashtra - 2022,04-Jan 11pm,18254.52
Maharashtra - 2022,05-Jan 12am,17984.73
Maharashtra - 2022,05-Jan 1am,17762.90
Maharashtra - 2022,05-Jan 2am,17691.72
Maharashtra - 2022,05-Jan 3am,17777.82
Maharashtra - 2022,05-Jan 4am,18172.49
Maharashtra - 2022,05-Jan 5am,19125.28
Maharashtra - 2022,05-Jan 6am,20165.16
Maharashtra - 2022,05-Jan 7am,21646.00
Maharashtra - 2022,05-Jan 8am,22707.47
Maharashtra - 2022,05-Jan 9am,23801.37
Maharashtra - 2022,05-Jan 10am,24855.54
Maharashtra - 2022,05-Jan 11am,24711.06
Maharashtra - 2022,05-Jan 12pm,24147.64
Maharashtra - 2022,05-Jan 1pm,23546.88
Maharashtra - 2022,05-Jan 2pm,23660.37
Maharashtra - 2022,05-Jan 3pm,23818.69
Maharashtra - 2022,05-Jan 4pm,23090.74
Maharashtra - 2022,05-Jan 5pm,22029.99
Maharashtra - 2022,05-Jan 6pm,22014.63
Maharashtra - 2022,05-Jan 7pm,21839.79
Maharashtra - 2022,05-Jan 8pm,20488.77
Maharashtra - 2022,05-Jan 9pm,19586.98
Maharashtra - 2022,05-Jan 10pm,18818.42
Maharashtra - 2022,05-Jan 11pm,18399.53
Maharashtra - 2022,06-Jan 12am,18238.21
Maharashtra - 2022,06-Jan 1am,18257.55
Maharashtra - 2022,06-Jan 2am,18220.94
Maharashtra - 2022,06-Jan 3am,18338.59
Maharashtra - 2022,06-Jan 4am,18748.55
Maharashtra - 2022,06-Jan 5am,19617.74
Maharashtra - 2022,06-Jan 6am,20846.53
Maharashtra - 2022,06-Jan 7am,22064.54
Maharashtra - 2022,06-Jan 8am,22994.09
Maharashtra - 2022,06-Jan 9am,23946.74
Maharashtra - 2022,06-Jan 10am,25309.31
Maharashtra - 2022,06-Jan 11am,25273.00
Maharashtra - 2022,06-Jan 12pm,24704.43
Maharashtra - 2022,06-Jan 1pm,24126.35
Maharashtra - 2022,06-Jan 2pm,23951.00
Maharashtra - 2022,06-Jan 3pm,23718.39
Maharashtra - 2022,06-Jan 4pm,23075.11
Maharashtra - 2022,06-Jan 5pm,21949.31
Maharashtra - 2022,06-Jan 6pm,21871.58
Maharashtra - 2022,06-Jan 7pm,21693.48
Maharashtra - 2022,06-Jan 8pm,20373.22
Maharashtra - 2022,06-Jan 9pm,19525.44
Maharashtra - 2022,06-Jan 10pm,18930.51
Maharashtra - 2022,06-Jan 11pm,18561.22
Maharashtra - 2022,07-Jan 12am,18375.53
Maharashtra - 2022,07-Jan 1am,18359.20
Maharashtra - 2022,07-Jan 2am,18461.19
Maharashtra - 2022,07-Jan 3am,18471.97
Maharashtra - 2022,07-Jan 4am,18784.98
Maharashtra - 2022,07-Jan 5am,19651.28
Maharashtra - 2022,07-Jan 6am,20724.67
Maharashtra - 2022,07-Jan 7am,22025.96
Maharashtra - 2022,07-Jan 8am,22767.30
Maharashtra - 2022,07-Jan 9am,23919.76
Maharashtra - 2022,07-Jan 10am,24824.83
Maharashtra - 2022,07-Jan 11am,24815.11
Maharashtra - 2022,07-Jan 12pm,24359.73
Maharashtra - 2022,07-Jan 1pm,23753.81
Maharashtra - 2022,07-Jan 2pm,23534.70
Maharashtra - 2022,07-Jan 3pm,23183.91
Maharashtra - 2022,07-Jan 4pm,22384.26
Maharashtra - 2022,07-Jan 5pm,21307.58
Maharashtra - 2022,07-Jan 6pm,21250.00
Maharashtra - 2022,07-Jan 7pm,21233.08
Maharashtra - 2022,07-Jan 8pm,19978.44
Maharashtra - 2022,07-Jan 9pm,19156.72
Maharashtra - 2022,07-Jan 10pm,18426.75
Maharashtra - 2022,07-Jan 11pm,18061.66
Maharashtra - 2022,08-Jan 12am,17828.00
Maharashtra - 2022,08-Jan 1am,17963.18
Maharashtra - 2022,08-Jan 2am,18125.49
Maharashtra - 2022,08-Jan 3am,18060.43
Maharashtra - 2022,08-Jan 4am,18461.26
Maharashtra - 2022,08-Jan 5am,19268.08
Maharashtra - 2022,08-Jan 6am,20367.53
Maharashtra - 2022,08-Jan 7am,21632.49
Maharashtra - 2022,08-Jan 8am,22471.00
Maharashtra - 2022,08-Jan 9am,23494.70
Maharashtra - 2022,08-Jan 10am,24514.87
Maharashtra - 2022,08-Jan 11am,24584.41
Maharashtra - 2022,08-Jan 12pm,24163.16
Maharashtra - 2022,08-Jan 1pm,23289.52
Maharashtra - 2022,08-Jan 2pm,23148.02
Maharashtra - 2022,08-Jan 3pm,23119.83
Maharashtra - 2022,08-Jan 4pm,22339.08
Maharashtra - 2022,08-Jan 5pm,21575.66
Maharashtra - 2022,08-Jan 6pm,21212.58
Maharashtra - 2022,08-Jan 7pm,20812.16
Maharashtra - 2022,08-Jan 8pm,19685.77
Maharashtra - 2022,08-Jan 9pm,18718.84
Maharashtra - 2022,08-Jan 10pm,18255.90
Maharashtra - 2022,08-Jan 11pm,17711.02
Maharashtra - 2022,09-Jan 12am,17317.52
Maharashtra - 2022,09-Jan 1am,17344.57
Maharashtra - 2022,09-Jan 2am,17229.27
Maharashtra - 2022,09-Jan 3am,17239.14
Maharashtra - 2022,09-Jan 4am,17483.57
Maharashtra - 2022,09-Jan 5am,18143.67
Maharashtra - 2022,09-Jan 6am,18990.71
Maharashtra - 2022,09-Jan 7am,19788.25
Maharashtra - 2022,09-Jan 8am,20628.27
Maharashtra - 2022,09-Jan 9am,21623.23
Maharashtra - 2022,09-Jan 10am,22389.00
Maharashtra - 2022,09-Jan 11am,22405.10
Maharashtra - 2022,09-Jan 12pm,21927.03
Maharashtra - 2022,09-Jan 1pm,21046.47
Maharashtra - 2022,09-Jan 2pm,20781.55
Maharashtra - 2022,09-Jan 3pm,20488.53
Maharashtra - 2022,09-Jan 4pm,19859.84
Maharashtra - 2022,09-Jan 5pm,19170.35
Maharashtra - 2022,09-Jan 6pm,19379.36
Maharashtra - 2022,09-Jan 7pm,19404.17
Maharashtra - 2022,09-Jan 8pm,18260.81
Maharashtra - 2022,09-Jan 9pm,17452.74
Maharashtra - 2022,09-Jan 10pm,17081.42
Maharashtra - 2022,09-Jan 11pm,16908.88
Maharashtra - 2022,10-Jan 12am,16745.58
Maharashtra - 2022,10-Jan 1am,16805.65
Maharashtra - 2022,10-Jan 2am,16346.36
Maharashtra - 2022,10-Jan 3am,16414.14
Maharashtra - 2022,10-Jan 4am,16546.19
Maharashtra - 2022,10-Jan 5am,17519.95
Maharashtra - 2022,10-Jan 6am,18659.14
Maharashtra - 2022,10-Jan 7am,20253.76
Maharashtra - 2022,10-Jan 8am,21738.38
Maharashtra - 2022,10-Jan 9am,22681.21
Maharashtra - 2022,10-Jan 10am,23378.75
Maharashtra - 2022,10-Jan 11am,23054.10
Maharashtra - 2022,10-Jan 12pm,22955.95
Maharashtra - 2022,10-Jan 1pm,22215.72
Maharashtra - 2022,10-Jan 2pm,22276.04
Maharashtra - 2022,10-Jan 3pm,22269.68
Maharashtra - 2022,10-Jan 4pm,21541.51
Maharashtra - 2022,10-Jan 5pm,20621.74
Maharashtra - 2022,10-Jan 6pm,20682.59
Maharashtra - 2022,10-Jan 7pm,20645.30
Maharashtra - 2022,10-Jan 8pm,19308.59
Maharashtra - 2022,10-Jan 9pm,18542.30
Maharashtra - 2022,10-Jan 10pm,17509.33
Maharashtra - 2022,10-Jan 11pm,17096.45
Maharashtra - 2022,11-Jan 12am,17166.44
Maharashtra - 2022,11-Jan 1am,17293.05
Maharashtra - 2022,11-Jan 2am,17194.97
Maharashtra - 2022,11-Jan 3am,17146.25
Maharashtra - 2022,11-Jan 4am,17328.89
Maharashtra - 2022,11-Jan 5am,18228.85
Maharashtra - 2022,11-Jan 6am,19497.52
Maharashtra - 2022,11-Jan 7am,21009.52
Maharashtra - 2022,11-Jan 8am,22260.93
Maharashtra - 2022,11-Jan 9am,23422.64
Maharashtra - 2022,11-Jan 10am,24329.51
Maharashtra - 2022,11-Jan 11am,24119.47
Maharashtra - 2022,11-Jan 12pm,23264.74
Maharashtra - 2022,11-Jan 1pm,22258.67
Maharashtra - 2022,11-Jan 2pm,21803.54
Maharashtra - 2022,11-Jan 3pm,21815.94
Maharashtra - 2022,11-Jan 4pm,21362.51
Maharashtra - 2022,11-Jan 5pm,20545.26
Maharashtra - 2022,11-Jan 6pm,20682.15
Maharashtra - 2022,11-Jan 7pm,20829.91
Maharashtra - 2022,11-Jan 8pm,19514.50
Maharashtra - 2022,11-Jan 9pm,18631.18
Maharashtra - 2022,11-Jan 10pm,17645.20
Maharashtra - 2022,11-Jan 11pm,17043.34
Maharashtra - 2022,12-Jan 12am,16877.10
Maharashtra - 2022,12-Jan 1am,16916.47
Maharashtra - 2022,12-Jan 2am,16996.76
Maharashtra - 2022,12-Jan 3am,17000.61
Maharashtra - 2022,12-Jan 4am,17381.80
Maharashtra - 2022,12-Jan 5am,18371.85
Maharashtra - 2022,12-Jan 6am,19498.38
Maharashtra - 2022,12-Jan 7am,20970.16
Maharashtra - 2022,12-Jan 8am,22522.01
Maharashtra - 2022,12-Jan 9am,23827.41
Maharashtra - 2022,12-Jan 10am,24900.47
Maharashtra - 2022,12-Jan 11am,24492.42
Maharashtra - 2022,12-Jan 12pm,23693.84
Maharashtra - 2022,12-Jan 1pm,22751.10
Maharashtra - 2022,12-Jan 2pm,22445.66
Maharashtra - 2022,12-Jan 3pm,22485.25
Maharashtra - 2022,12-Jan 4pm,21631.01
Maharashtra - 2022,12-Jan 5pm,20930.38
Maharashtra - 2022,12-Jan 6pm,20803.51
Maharashtra - 2022,12-Jan 7pm,20864.22
Maharashtra - 2022,12-Jan 8pm,19840.15
Maharashtra - 2022,12-Jan 9pm,18949.66
Maharashtra - 2022,12-Jan 10pm,17986.73
