State,Date,Hourly Demand Met (in MW)
Uttar Pradesh - 2021,01-Jan 12am,11912.38
Uttar Pradesh - 2021,01-Jan 1am,11315.03
Uttar Pradesh - 2021,01-Jan 2am,10879.92
Uttar Pradesh - 2021,01-Jan 3am,10796.67
Uttar Pradesh - 2021,01-Jan 4am,11144.72
Uttar Pradesh - 2021,01-Jan 5am,10963.93
Uttar Pradesh - 2021,01-Jan 6am,9739.36
Uttar Pradesh - 2021,01-Jan 7am,9770.87
Uttar Pradesh - 2021,01-Jan 8am,12401.30
Uttar Pradesh - 2021,01-Jan 9am,15769.41
Uttar Pradesh - 2021,01-Jan 10am,17063.83
Uttar Pradesh - 2021,01-Jan 11am,17169.62
Uttar Pradesh - 2021,01-Jan 12pm,16901.99
Uttar Pradesh - 2021,01-Jan 1pm,14426.49
Uttar Pradesh - 2021,01-Jan 2pm,11012.20
Uttar Pradesh - 2021,01-Jan 3pm,9547.58
Uttar Pradesh - 2021,01-Jan 4pm,10106.37
Uttar Pradesh - 2021,01-Jan 5pm,13145.87
Uttar Pradesh - 2021,01-Jan 6pm,16875.95
Uttar Pradesh - 2021,01-Jan 7pm,17763.50
Uttar Pradesh - 2021,01-Jan 8pm,16993.70
Uttar Pradesh - 2021,01-Jan 9pm,15595.02
Uttar Pradesh - 2021,01-Jan 10pm,13995.10
Uttar Pradesh - 2021,01-Jan 11pm,12435.88
Uttar Pradesh - 2021,02-Jan 12am,11333.62
Uttar Pradesh - 2021,02-Jan 1am,10677.01
Uttar Pradesh - 2021,02-Jan 2am,10362.83
Uttar Pradesh - 2021,02-Jan 3am,10274.46
Uttar Pradesh - 2021,02-Jan 4am,10567.27
Uttar Pradesh - 2021,02-Jan 5am,10503.22
Uttar Pradesh - 2021,02-Jan 6am,9489.35
Uttar Pradesh - 2021,02-Jan 7am,9511.05
Uttar Pradesh - 2021,02-Jan 8am,12272.07
Uttar Pradesh - 2021,02-Jan 9am,15765.30
Uttar Pradesh - 2021,02-Jan 10am,16990.05
Uttar Pradesh - 2021,02-Jan 11am,16536.58
Uttar Pradesh - 2021,02-Jan 12pm,15552.91
Uttar Pradesh - 2021,02-Jan 1pm,13465.77
Uttar Pradesh - 2021,02-Jan 2pm,11242.55
Uttar Pradesh - 2021,02-Jan 3pm,9823.39
Uttar Pradesh - 2021,02-Jan 4pm,9602.47
Uttar Pradesh - 2021,02-Jan 5pm,12220.88
Uttar Pradesh - 2021,02-Jan 6pm,14862.88
Uttar Pradesh - 2021,02-Jan 7pm,17328.78
Uttar Pradesh - 2021,02-Jan 8pm,16756.16
Uttar Pradesh - 2021,02-Jan 9pm,15275.22
Uttar Pradesh - 2021,02-Jan 10pm,13995.10
Uttar Pradesh - 2021,02-Jan 11pm,12435.88
Uttar Pradesh - 2021,03-Jan 12am,10967.09
Uttar Pradesh - 2021,03-Jan 1am,10090.29
Uttar Pradesh - 2021,03-Jan 2am,9608.94
Uttar Pradesh - 2021,03-Jan 3am,9446.26
Uttar Pradesh - 2021,03-Jan 4am,9558.37
Uttar Pradesh - 2021,03-Jan 5am,9595.71
Uttar Pradesh - 2021,03-Jan 6am,9173.05
Uttar Pradesh - 2021,03-Jan 7am,9494.97
Uttar Pradesh - 2021,03-Jan 8am,12272.07
