State,Date,Hourly Demand Met (in MW)
Maharashtra - 2024,01-Jan 12am,19453.58
Maharashtra - 2024,01-Jan 1am,19555.09
Maharashtra - 2024,01-Jan 2am,19551.94
Maharashtra - 2024,01-Jan 3am,19481.55
Maharashtra - 2024,01-Jan 4am,20056.49
Maharashtra - 2024,01-Jan 5am,20969.39
Maharashtra - 2024,01-Jan 6am,22083.70
Maharashtra - 2024,01-Jan 7am,22818.11
Maharashtra - 2024,01-Jan 8am,23578.93
Maharashtra - 2024,01-Jan 9am,24332.24
Maharashtra - 2024,01-Jan 10am,25328.98
Maharashtra - 2024,01-Jan 11am,25826.51
Maharashtra - 2024,01-Jan 12pm,25567.94
Maharashtra - 2024,01-Jan 1pm,25075.43
Maharashtra - 2024,01-Jan 2pm,25183.73
Maharashtra - 2024,01-Jan 3pm,25120.68
Maharashtra - 2024,01-Jan 4pm,24307.59
Maharashtra - 2024,01-Jan 5pm,23426.45
Maharashtra - 2024,01-Jan 6pm,23660.25
Maharashtra - 2024,01-Jan 7pm,23447.52
Maharashtra - 2024,01-Jan 8pm,21905.79
Maharashtra - 2024,01-Jan 9pm,21136.53
Maharashtra - 2024,01-Jan 10pm,20687.05
Maharashtra - 2024,01-Jan 11pm,20344.99
Maharashtra - 2024,02-Jan 12am,20194.20
Maharashtra - 2024,02-Jan 1am,20143.36
Maharashtra - 2024,02-Jan 2am,19994.04
Maharashtra - 2024,02-Jan 3am,20029.90
Maharashtra - 2024,02-Jan 4am,20719.20
Maharashtra - 2024,02-Jan 5am,21842.10
Maharashtra - 2024,02-Jan 6am,23247.32
Maharashtra - 2024,02-Jan 7am,24605.88
Maharashtra - 2024,02-Jan 8am,25536.34
Maharashtra - 2024,02-Jan 9am,26550.88
Maharashtra - 2024,02-Jan 10am,27420.75
Maharashtra - 2024,02-Jan 11am,27127.65
Maharashtra - 2024,02-Jan 12pm,26384.87
Maharashtra - 2024,02-Jan 1pm,25681.40
Maharashtra - 2024,02-Jan 2pm,25856.97
Maharashtra - 2024,02-Jan 3pm,26166.53
Maharashtra - 2024,02-Jan 4pm,25642.21
Maharashtra - 2024,02-Jan 5pm,24944.06
Maharashtra - 2024,02-Jan 6pm,25274.20
Maharashtra - 2024,02-Jan 7pm,24908.88
Maharashtra - 2024,02-Jan 8pm,23203.65
Maharashtra - 2024,02-Jan 9pm,22125.30
Maharashtra - 2024,02-Jan 10pm,21590.74
Maharashtra - 2024,02-Jan 11pm,21203.61
Maharashtra - 2024,03-Jan 12am,20845.75
Maharashtra - 2024,03-Jan 1am,20865.62
Maharashtra - 2024,03-Jan 2am,20807.21
Maharashtra - 2024,03-Jan 3am,20897.62
Maharashtra - 2024,03-Jan 4am,21452.70
Maharashtra - 2024,03-Jan 5am,22527.21
Maharashtra - 2024,03-Jan 6am,23878.04
Maharashtra - 2024,03-Jan 7am,25090.19
Maharashtra - 2024,03-Jan 8am,26230.41
Maharashtra - 2024,03-Jan 9am,26989.75
Maharashtra - 2024,03-Jan 10am,27903.58
Maharashtra - 2024,03-Jan 11am,27580.50
Maharashtra - 2024,03-Jan 12pm,26757.01
Maharashtra - 2024,03-Jan 1pm,26274.94
Maharashtra - 2024,03-Jan 2pm,26126.90
Maharashtra - 2024,03-Jan 3pm,26299.86
Maharashtra - 2024,03-Jan 4pm,25809.40
Maharashtra - 2024,03-Jan 5pm,25119.73
Maharashtra - 2024,03-Jan 6pm,25496.56
Maharashtra - 2024,03-Jan 7pm,25160.57
Maharashtra - 2024,03-Jan 8pm,23398.17
Maharashtra - 2024,03-Jan 9pm,22594.73
Maharashtra - 2024,03-Jan 10pm,21953.68
Maharashtra - 2024,03-Jan 11pm,21564.73
Maharashtra - 2024,04-Jan 12am,21176.11
Maharashtra - 2024,04-Jan 1am,20985.91
Maharashtra - 2024,04-Jan 2am,20880.51
Maharashtra - 2024,04-Jan 3am,21008.85
Maharashtra - 2024,04-Jan 4am,21621.44
Maharashtra - 2024,04-Jan 5am,22699.71
Maharashtra - 2024,04-Jan 6am,24085.72
Maharashtra - 2024,04-Jan 7am,25434.22
Maharashtra - 2024,04-Jan 8am,26386.38
Maharashtra - 2024,04-Jan 9am,27224.11
Maharashtra - 2024,04-Jan 10am,27507.14
Maharashtra - 2024,04-Jan 11am,27305.01
