State,Date,Hourly Demand Met (in MW)
Uttar Pradesh - 2020,01-Jan 12am,12290.28
Uttar Pradesh - 2020,01-Jan 1am,11547.16
Uttar Pradesh - 2020,01-Jan 2am,11173.36
Uttar Pradesh - 2020,01-Jan 3am,10866.88
Uttar Pradesh - 2020,01-Jan 4am,11119.33
Uttar Pradesh - 2020,01-Jan 5am,12375.50
Uttar Pradesh - 2020,01-Jan 6am,14298.36
Uttar Pradesh - 2020,01-Jan 7am,15198.62
Uttar Pradesh - 2020,01-Jan 8am,14412.58
Uttar Pradesh - 2020,01-Jan 9am,14150.85
Uttar Pradesh - 2020,01-Jan 10am,14191.81
Uttar Pradesh - 2020,01-Jan 11am,13945.36
Uttar Pradesh - 2020,01-Jan 12pm,13800.56
Uttar Pradesh - 2020,01-Jan 1pm,13661.34
Uttar Pradesh - 2020,01-Jan 2pm,13779.42
Uttar Pradesh - 2020,01-Jan 3pm,13473.46
Uttar Pradesh - 2020,01-Jan 4pm,13166.75
Uttar Pradesh - 2020,01-Jan 5pm,13792.57
Uttar Pradesh - 2020,01-Jan 6pm,14783.72
Uttar Pradesh - 2020,01-Jan 7pm,16366.79
Uttar Pradesh - 2020,01-Jan 8pm,16116.05
Uttar Pradesh - 2020,01-Jan 9pm,15355.43
Uttar Pradesh - 2020,01-Jan 10pm,13800.67
Uttar Pradesh - 2020,01-Jan 11pm,12505.56
Uttar Pradesh - 2020,02-Jan 12am,11404.79
Uttar Pradesh - 2020,02-Jan 1am,10755.78
Uttar Pradesh - 2020,02-Jan 2am,10493.18
Uttar Pradesh - 2020,02-Jan 3am,10296.90
Uttar Pradesh - 2020,02-Jan 4am,10536.46
Uttar Pradesh - 2020,02-Jan 5am,11624.89
Uttar Pradesh - 2020,02-Jan 6am,13374.34
Uttar Pradesh - 2020,02-Jan 7am,13909.98
Uttar Pradesh - 2020,02-Jan 8am,12976.86
Uttar Pradesh - 2020,02-Jan 9am,13105.63
Uttar Pradesh - 2020,02-Jan 10am,13027.69
Uttar Pradesh - 2020,02-Jan 11am,12865.59
Uttar Pradesh - 2020,02-Jan 12pm,12433.33
Uttar Pradesh - 2020,02-Jan 1pm,12499.48
Uttar Pradesh - 2020,02-Jan 2pm,12506.24
Uttar Pradesh - 2020,02-Jan 3pm,12301.12
Uttar Pradesh - 2020,02-Jan 4pm,12477.21
Uttar Pradesh - 2020,02-Jan 5pm,12792.35
Uttar Pradesh - 2020,02-Jan 6pm,13769.99
Uttar Pradesh - 2020,02-Jan 7pm,15016.54
Uttar Pradesh - 2020,02-Jan 8pm,15818.73
Uttar Pradesh - 2020,02-Jan 9pm,14694.43
Uttar Pradesh - 2020,02-Jan 10pm,13131.34
Uttar Pradesh - 2020,02-Jan 11pm,11742.07
Uttar Pradesh - 2020,03-Jan 12am,10598.53
Uttar Pradesh - 2020,03-Jan 1am,9936.02
Uttar Pradesh - 2020,03-Jan 2am,9492.00
Uttar Pradesh - 2020,03-Jan 3am,9286.52
Uttar Pradesh - 2020,03-Jan 4am,9489.04
Uttar Pradesh - 2020,03-Jan 5am,10397.96
Uttar Pradesh - 2020,03-Jan 6am,11924.28
Uttar Pradesh - 2020,03-Jan 7am,12581.88
Uttar Pradesh - 2020,03-Jan 8am,11808.85
Uttar Pradesh - 2020,03-Jan 9am,12052.21
Uttar Pradesh - 2020,03-Jan 10am,12150.92
Uttar Pradesh - 2020,03-Jan 11am,12270.80
Uttar Pradesh - 2020,03-Jan 12pm,12941.97
Uttar Pradesh - 2020,03-Jan 1pm,12707.52
Uttar Pradesh - 2020,03-Jan 2pm,12535.02
Uttar Pradesh - 2020,03-Jan 3pm,12197.98
Uttar Pradesh - 2020,03-Jan 4pm,11950.62
Uttar Pradesh - 2020,03-Jan 5pm,11853.11
Uttar Pradesh - 2020,03-Jan 6pm,13564.22
Uttar Pradesh - 2020,03-Jan 7pm,15476.10
Uttar Pradesh - 2020,03-Jan 8pm,15832.31
Uttar Pradesh - 2020,03-Jan 9pm,14754.20
Uttar Pradesh - 2020,03-Jan 10pm,13194.60
Uttar Pradesh - 2020,03-Jan 11pm,11797.93
Uttar Pradesh - 2020,04-Jan 12am,10846.79
Uttar Pradesh - 2020,04-Jan 1am,10319.25
Uttar Pradesh - 2020,04-Jan 2am,9987.28
Uttar Pradesh - 2020,04-Jan 3am,9905.50
Uttar Pradesh - 2020,04-Jan 4am,10194.38
Uttar Pradesh - 2020,04-Jan 5am,11340.30
Uttar Pradesh - 2020,04-Jan 6am,12890.88
Uttar Pradesh - 2020,04-Jan 7am,13127.69
Uttar Pradesh - 2020,04-Jan 8am,12175.68
Uttar Pradesh - 2020,04-Jan 9am,12629.21
Uttar Pradesh - 2020,04-Jan 10am,12879.97
Uttar Pradesh - 2020,04-Jan 11am,12925.40
Uttar Pradesh - 2020,04-Jan 12pm,12899.00
Uttar Pradesh - 2020,04-Jan 1pm,13001.52
Uttar Pradesh - 2020,04-Jan 2pm,12569.47
Uttar Pradesh - 2020,04-Jan 3pm,11713.66
Uttar Pradesh - 2020,04-Jan 4pm,11625.98
Uttar Pradesh - 2020,04-Jan 5pm,12085.02
Uttar Pradesh - 2020,04-Jan 6pm,14220.24
Uttar Pradesh - 2020,04-Jan 7pm,15811.81
Uttar Pradesh - 2020,04-Jan 8pm,16016.52
Uttar Pradesh - 2020,04-Jan 9pm,14844.20
Uttar Pradesh - 2020,04-Jan 10pm,13381.27
Uttar Pradesh - 2020,04-Jan 11pm,11881.52
Uttar Pradesh - 2020,05-Jan 12am,10935.43
Uttar Pradesh - 2020,05-Jan 1am,10356.23
Uttar Pradesh - 2020,05-Jan 2am,10043.92
Uttar Pradesh - 2020,05-Jan 3am,9845.04
Uttar Pradesh - 2020,05-Jan 4am,10092.60
Uttar Pradesh - 2020,05-Jan 5am,11215.43
Uttar Pradesh - 2020,05-Jan 6am,12424.31
Uttar Pradesh - 2020,05-Jan 7am,13071.78
Uttar Pradesh - 2020,05-Jan 8am,12168.16
Uttar Pradesh - 2020,05-Jan 9am,12512.88
Uttar Pradesh - 2020,05-Jan 10am,12545.44
Uttar Pradesh - 2020,05-Jan 11am,12302.47
Uttar Pradesh - 2020,05-Jan 12pm,12052.26
Uttar Pradesh - 2020,05-Jan 1pm,12171.49
Uttar Pradesh - 2020,05-Jan 2pm,11751.26
Uttar Pradesh - 2020,05-Jan 3pm,11539.17
Uttar Pradesh - 2020,05-Jan 4pm,11385.00
Uttar Pradesh - 2020,05-Jan 5pm,11787.91
Uttar Pradesh - 2020,05-Jan 6pm,14384.73
Uttar Pradesh - 2020,05-Jan 7pm,15313.98
Uttar Pradesh - 2020,05-Jan 8pm,15307.14
Uttar Pradesh - 2020,05-Jan 9pm,14294.10
Uttar Pradesh - 2020,05-Jan 10pm,13024.32
Uttar Pradesh - 2020,05-Jan 11pm,11701.91
Uttar Pradesh - 2020,06-Jan 12am,10705.00
Uttar Pradesh - 2020,06-Jan 1am,10129.56
Uttar Pradesh - 2020,06-Jan 2am,9737.01
Uttar Pradesh - 2020,06-Jan 3am,9628.32
