State,Date,Hourly Demand Met (in MW)
Maharashtra - 2021,01-Jan 12am,16126.69
Maharashtra - 2021,01-Jan 1am,15945.78
Maharashtra - 2021,01-Jan 2am,15726.65
Maharashtra - 2021,01-Jan 3am,15723.48
Maharashtra - 2021,01-Jan 4am,16178.24
Maharashtra - 2021,01-Jan 5am,17295.23
Maharashtra - 2021,01-Jan 6am,18733.08
Maharashtra - 2021,01-Jan 7am,19759.40
Maharashtra - 2021,01-Jan 8am,20210.30
Maharashtra - 2021,01-Jan 9am,20867.06
Maharashtra - 2021,01-Jan 10am,22003.70
Maharashtra - 2021,01-Jan 11am,22481.45
Maharashtra - 2021,01-Jan 12pm,22275.52
Maharashtra - 2021,01-Jan 1pm,21538.76
Maharashtra - 2021,01-Jan 2pm,21301.73
Maharashtra - 2021,01-Jan 3pm,21131.29
Maharashtra - 2021,01-Jan 4pm,20242.26
Maharashtra - 2021,01-Jan 5pm,19129.83
Maharashtra - 2021,01-Jan 6pm,18319.86
Maharashtra - 2021,01-Jan 7pm,17840.93
Maharashtra - 2021,01-Jan 8pm,16915.44
Maharashtra - 2021,01-Jan 9pm,16592.13
Maharashtra - 2021,01-Jan 10pm,16366.32
Maharashtra - 2021,01-Jan 11pm,16309.23
Maharashtra - 2021,02-Jan 12am,16069.55
Maharashtra - 2021,02-Jan 1am,15740.84
Maharashtra - 2021,02-Jan 2am,15617.24
Maharashtra - 2021,02-Jan 3am,15747.19
Maharashtra - 2021,02-Jan 4am,16205.24
Maharashtra - 2021,02-Jan 5am,17279.39
Maharashtra - 2021,02-Jan 6am,18643.54
Maharashtra - 2021,02-Jan 7am,19959.81
Maharashtra - 2021,02-Jan 8am,20638.81
Maharashtra - 2021,02-Jan 9am,21532.62
Maharashtra - 2021,02-Jan 10am,22629.84
Maharashtra - 2021,02-Jan 11am,22967.30
Maharashtra - 2021,02-Jan 12pm,22556.16
Maharashtra - 2021,02-Jan 1pm,21777.33
Maharashtra - 2021,02-Jan 2pm,21867.74
Maharashtra - 2021,02-Jan 3pm,21833.29
Maharashtra - 2021,02-Jan 4pm,21139.38
Maharashtra - 2021,02-Jan 5pm,20047.58
Maharashtra - 2021,02-Jan 6pm,19387.10
Maharashtra - 2021,02-Jan 7pm,18792.92
Maharashtra - 2021,02-Jan 8pm,17653.75
Maharashtra - 2021,02-Jan 9pm,17326.58
Maharashtra - 2021,02-Jan 10pm,16366.32
Maharashtra - 2021,02-Jan 11pm,16309.23
Maharashtra - 2021,03-Jan 12am,16581.26
Maharashtra - 2021,03-Jan 1am,16457.41
Maharashtra - 2021,03-Jan 2am,16228.29
Maharashtra - 2021,03-Jan 3am,16195.60
Maharashtra - 2021,03-Jan 4am,16613.96
Maharashtra - 2021,03-Jan 5am,17668.94
Maharashtra - 2021,03-Jan 6am,18063.50
Maharashtra - 2021,03-Jan 7am,19593.23
Maharashtra - 2021,03-Jan 8am,20638.81
Maharashtra - 2021,03-Jan 9am,21396.09
Maharashtra - 2021,03-Jan 10am,22144.95
Maharashtra - 2021,03-Jan 11am,22582.99
Maharashtra - 2021,03-Jan 12pm,22295.91
Maharashtra - 2021,03-Jan 1pm,21555.20
Maharashtra - 2021,03-Jan 2pm,21204.03
Maharashtra - 2021,03-Jan 3pm,20885.97
Maharashtra - 2021,03-Jan 4pm,20090.88
Maharashtra - 2021,03-Jan 5pm,19248.01
Maharashtra - 2021,03-Jan 6pm,18717.00
Maharashtra - 2021,03-Jan 7pm,18293.63
Maharashtra - 2021,03-Jan 8pm,17303.28
Maharashtra - 2021,03-Jan 9pm,16879.21
Maharashtra - 2021,03-Jan 10pm,16591.73
Maharashtra - 2021,03-Jan 11pm,16441.62
Maharashtra - 2021,04-Jan 12am,16271.58
Maharashtra - 2021,04-Jan 1am,16096.51
Maharashtra - 2021,04-Jan 2am,15793.48
Maharashtra - 2021,04-Jan 3am,15683.88
Maharashtra - 2021,04-Jan 4am,16247.55
Maharashtra - 2021,04-Jan 5am,17385.03
Maharashtra - 2021,04-Jan 6am,18883.60
Maharashtra - 2021,04-Jan 7am,20489.00
Maharashtra - 2021,04-Jan 8am,21349.15
Maharashtra - 2021,04-Jan 9am,22001.81
Maharashtra - 2021,04-Jan 10am,22966.86
Maharashtra - 2021,04-Jan 11am,22749.10
Maharashtra - 2021,04-Jan 12pm,23114.69
Maharashtra - 2021,04-Jan 1pm,22474.02
Maharashtra - 2021,04-Jan 2pm,22221.90
Maharashtra - 2021,04-Jan 3pm,21986.39
Maharashtra - 2021,04-Jan 4pm,21044.75
Maharashtra - 2021,04-Jan 5pm,19993.26
Maharashtra - 2021,04-Jan 6pm,19455.69
Maharashtra - 2021,04-Jan 7pm,18847.80
Maharashtra - 2021,04-Jan 8pm,17650.51
Maharashtra - 2021,04-Jan 9pm,17237.86
Maharashtra - 2021,04-Jan 10pm,16797.95
Maharashtra - 2021,04-Jan 11pm,16331.84
Maharashtra - 2021,05-Jan 12am,15944.00
Maharashtra - 2021,05-Jan 1am,15632.77
Maharashtra - 2021,05-Jan 2am,15375.41
Maharashtra - 2021,05-Jan 3am,15422.00
Maharashtra - 2021,05-Jan 4am,15823.00
Maharashtra - 2021,05-Jan 5am,16842.93
Maharashtra - 2021,05-Jan 6am,18099.94
Maharashtra - 2021,05-Jan 7am,19575.78
Maharashtra - 2021,05-Jan 8am,20570.05
Maharashtra - 2021,05-Jan 9am,21444.19
Maharashtra - 2021,05-Jan 10am,22109.50
Maharashtra - 2021,05-Jan 11am,22260.62
Maharashtra - 2021,05-Jan 12pm,21931.20
Maharashtra - 2021,05-Jan 1pm,21262.58
Maharashtra - 2021,05-Jan 2pm,21179.35
Maharashtra - 2021,05-Jan 3pm,21317.03
Maharashtra - 2021,05-Jan 4pm,20838.22
Maharashtra - 2021,05-Jan 5pm,20109.93
Maharashtra - 2021,05-Jan 6pm,19614.78
Maharashtra - 2021,05-Jan 7pm,19310.94
Maharashtra - 2021,05-Jan 8pm,17992.83
Maharashtra - 2021,05-Jan 9pm,17483.41
Maharashtra - 2021,05-Jan 10pm,17052.13
Maharashtra - 2021,05-Jan 11pm,16705.70
Maharashtra - 2021,06-Jan 12am,16468.79
Maharashtra - 2021,06-Jan 1am,16331.44
Maharashtra - 2021,06-Jan 2am,16164.69
Maharashtra - 2021,06-Jan 3am,16171.61
Maharashtra - 2021,06-Jan 4am,16441.23
Maharashtra - 2021,06-Jan 5am,17551.16
Maharashtra - 2021,06-Jan 6am,18896.33
Maharashtra - 2021,06-Jan 7am,20364.01
Maharashtra - 2021,06-Jan 8am,21254.19
Maharashtra - 2021,06-Jan 9am,21703.59
Maharashtra - 2021,06-Jan 10am,22398.42
Maharashtra - 2021,06-Jan 11am,22808.05
Maharashtra - 2021,06-Jan 12pm,22455.70
Maharashtra - 2021,06-Jan 1pm,21801.03
Maharashtra - 2021,06-Jan 2pm,21565.50
Maharashtra - 2021,06-Jan 3pm,21538.17
Maharashtra - 2021,06-Jan 4pm,20966.58
Maharashtra - 2021,06-Jan 5pm,20028.63
Maharashtra - 2021,06-Jan 6pm,19582.79
Maharashtra - 2021,06-Jan 7pm,19234.58
Maharashtra - 2021,06-Jan 8pm,18200.01
Maharashtra - 2021,06-Jan 9pm,17858.17
Maharashtra - 2021,06-Jan 10pm,17443.06
Maharashtra - 2021,06-Jan 11pm,17070.78
Maharashtra - 2021,07-Jan 12am,16688.32
Maharashtra - 2021,07-Jan 1am,16354.58
Maharashtra - 2021,07-Jan 2am,16188.15
Maharashtra - 2021,07-Jan 3am,16201.37
Maharashtra - 2021,07-Jan 4am,16632.64
Maharashtra - 2021,07-Jan 5am,17666.16
Maharashtra - 2021,07-Jan 6am,18920.96
Maharashtra - 2021,07-Jan 7am,20406.93
Maharashtra - 2021,07-Jan 8am,21103.25
Maharashtra - 2021,07-Jan 9am,21790.70
Maharashtra - 2021,07-Jan 10am,22494.13
Maharashtra - 2021,07-Jan 11am,22736.62
Maharashtra - 2021,07-Jan 12pm,22244.92
Maharashtra - 2021,07-Jan 1pm,21576.91
Maharashtra - 2021,07-Jan 2pm,21531.92
Maharashtra - 2021,07-Jan 3pm,21273.30
Maharashtra - 2021,07-Jan 4pm,20542.52
Maharashtra - 2021,07-Jan 5pm,19719.35
Maharashtra - 2021,07-Jan 6pm,19240.14
Maharashtra - 2021,07-Jan 7pm,18646.70
Maharashtra - 2021,07-Jan 8pm,17554.33
Maharashtra - 2021,07-Jan 9pm,17341.51
Maharashtra - 2021,07-Jan 10pm,17057.26
