State,Date,Hourly Demand Met (in MW)
Delhi - 2021,01-Jan 12am,2105.45
Delhi - 2021,01-Jan 1am,1821.40
Delhi - 2021,01-Jan 2am,1673.98
Delhi - 2021,01-Jan 3am,1607.68
Delhi - 2021,01-Jan 4am,1662.72
Delhi - 2021,01-Jan 5am,1954.11
Delhi - 2021,01-Jan 6am,2604.02
Delhi - 2021,01-Jan 7am,3470.53
Delhi - 2021,01-Jan 8am,4185.56
Delhi - 2021,01-Jan 9am,4597.30
Delhi - 2021,01-Jan 10am,4900.56
Delhi - 2021,01-Jan 11am,4931.75
Delhi - 2021,01-Jan 12pm,4758.14
Delhi - 2021,01-Jan 1pm,4182.09
Delhi - 2021,01-Jan 2pm,3827.39
Delhi - 2021,01-Jan 3pm,3547.38
Delhi - 2021,01-Jan 4pm,3398.30
Delhi - 2021,01-Jan 5pm,3495.33
Delhi - 2021,01-Jan 6pm,3652.67
Delhi - 2021,01-Jan 7pm,3516.65
Delhi - 2021,01-Jan 8pm,3345.93
Delhi - 2021,01-Jan 9pm,3150.22
Delhi - 2021,01-Jan 10pm,2838.32
Delhi - 2021,01-Jan 11pm,2364.66
Delhi - 2021,02-Jan 12am,1937.95
Delhi - 2021,02-Jan 1am,1685.54
Delhi - 2021,02-Jan 2am,1570.99
Delhi - 2021,02-Jan 3am,1521.97
Delhi - 2021,02-Jan 4am,1565.63
Delhi - 2021,02-Jan 5am,1803.67
Delhi - 2021,02-Jan 6am,2319.63
Delhi - 2021,02-Jan 7am,3021.15
Delhi - 2021,02-Jan 8am,3617.47
Delhi - 2021,02-Jan 9am,3913.35
Delhi - 2021,02-Jan 10am,4214.38
Delhi - 2021,02-Jan 11am,4091.69
Delhi - 2021,02-Jan 12pm,3864.03
Delhi - 2021,02-Jan 1pm,3475.52
Delhi - 2021,02-Jan 2pm,3366.06
Delhi - 2021,02-Jan 3pm,3246.99
Delhi - 2021,02-Jan 4pm,3173.68
Delhi - 2021,02-Jan 5pm,3342.61
Delhi - 2021,02-Jan 6pm,3603.49
Delhi - 2021,02-Jan 7pm,3465.77
Delhi - 2021,02-Jan 8pm,3310.29
Delhi - 2021,02-Jan 9pm,3070.38
Delhi - 2021,02-Jan 10pm,2838.32
Delhi - 2021,02-Jan 11pm,2364.66
Delhi - 2021,03-Jan 12am,1899.72
